iter,overall,attack,distortion
0,61.732601,41.098981,0.084128
10,60.538534,40.100850,0.387257
20,59.848358,39.429736,0.703752
30,61.028546,40.213833,0.707795
40,60.533733,39.833810,0.783017
50,58.079002,37.930574,1.183142
60,58.680355,38.307613,1.218935
70,59.026821,38.447198,1.356024
80,58.536487,38.022075,1.503375
90,56.923973,36.846409,1.654359
100,56.983118,36.749817,1.858392
110,57.505999,37.056885,1.920671
120,56.665164,36.320502,2.184413
130,54.514084,34.626351,2.574557
140,55.384760,35.104605,2.727853
150,56.157200,35.462601,2.963298
160,54.270520,34.156273,3.036110
170,54.355973,34.138784,3.147798
180,53.303973,33.333658,3.303486
190,51.689555,31.913541,3.819243
200,51.911957,32.042674,3.847946
210,53.670351,33.238864,3.812055
220,50.901425,31.227804,4.059720
230,51.825621,31.725760,4.236981
240,50.364393,30.634536,4.412589
250,50.037191,30.374765,4.475042
260,50.844694,30.843847,4.578923
270,49.859886,29.992755,4.870753
280,47.759712,28.445680,5.091190
290,47.446342,28.166392,5.196754
300,48.083772,28.689999,5.048773
310,47.177718,27.873201,5.367916
320,45.964359,26.810919,5.747980
330,44.930490,26.047786,5.858811
340,45.052019,25.976190,6.087735
350,45.678588,26.391103,6.091934
360,45.030989,25.821396,6.298895
370,43.953907,24.967103,6.503254
380,43.376487,24.386539,6.796678
390,43.354822,24.193824,7.064086
400,45.989668,26.175586,6.726288
410,44.166880,24.741044,7.055315
420,43.681294,24.226926,7.340904
430,42.963309,23.594415,7.571686
440,41.847694,22.630426,7.902055
450,42.308231,22.780756,8.137098
460,41.384442,22.117178,8.208675
470,40.909100,21.769177,8.255333
480,41.731457,22.189982,8.446485
490,41.599252,22.199161,8.300511
500,41.628394,21.944980,8.710923
510,39.995325,20.834470,8.743621
520,39.733661,20.354759,9.201521
530,39.160429,19.963955,9.214497
540,39.140411,19.807121,9.429729
550,39.416876,19.960014,9.476855
560,39.202024,19.736589,9.597139
570,37.687982,18.574917,9.825606
580,37.409559,18.313598,9.939163
590,36.701015,17.861367,9.908965
600,36.592531,17.744639,9.975571
610,36.968014,17.837421,10.211884
620,35.102850,16.564033,10.256801
630,36.307224,17.207036,10.496670
640,35.496471,16.633924,10.545585
650,35.099852,16.244122,10.733669
660,35.291675,16.470322,10.586193
670,34.244030,15.575959,10.880092
680,34.879159,15.925443,10.990995
690,33.606781,14.970537,11.150976
700,32.716443,14.341871,11.203637
710,33.297055,14.625974,11.358094
720,32.963742,14.295352,11.520714
730,33.480347,14.672474,11.471635
740,32.175393,13.609549,11.761068
750,32.045433,13.593204,11.655627
760,32.283871,13.751304,11.656915
770,31.822752,13.403887,11.716922
780,32.079464,13.608080,11.667343
790,31.767588,13.439947,11.607668
800,30.902511,12.821649,11.670037
810,31.137611,12.997392,11.641523
820,31.317360,13.100882,11.666037
830,30.963919,12.753554,11.833588
840,31.344191,13.016083,11.820067
850,30.727000,12.556108,11.892838
860,30.433510,12.223736,12.097906
870,30.652357,12.427580,12.010987
880,30.125336,12.018913,12.096967
890,29.526564,11.557254,12.190683
900,30.186516,12.027690,12.144981
910,29.648486,11.753654,12.018005
920,28.900287,11.182324,12.126801
930,28.862346,11.133789,12.161663
940,28.384731,10.807861,12.172940
950,28.674448,11.034806,12.122238
960,28.840521,11.234155,11.989289
970,28.309324,10.797864,12.112527
