iter,overall,attack,distortion
0,61.739562,41.110606,0.073653
10,59.967680,39.744413,0.351060
20,60.793462,40.221754,0.460831
30,60.023891,39.594810,0.631675
40,60.756047,40.129309,0.562083
50,59.890047,39.449889,0.715212
60,59.227644,38.924488,0.840911
70,59.053450,38.741879,0.940631
80,58.639007,38.377473,1.072797
90,57.768113,37.770551,1.112287
100,57.022881,37.171450,1.265705
110,56.789428,36.844935,1.522024
120,55.652785,36.056236,1.568432
130,54.939839,35.435115,1.787166
140,55.446452,35.703719,1.890873
150,55.464058,35.692930,1.924664
160,54.375919,34.759818,2.236193
170,54.210065,34.638809,2.251852
180,54.462693,34.786245,2.283327
190,53.703459,34.266095,2.304316
200,52.506586,33.351056,2.480001
210,52.527617,33.164355,2.781084
220,50.647496,31.680768,3.126344
230,51.907674,32.525962,3.118732
240,50.520858,31.450237,3.345502
250,50.079562,31.065162,3.481818
260,49.740278,30.747426,3.619141
270,48.584433,29.747685,3.962906
280,48.560425,29.609478,4.146207
290,47.959548,29.178580,4.191679
300,48.105706,29.200770,4.304550
310,47.830712,28.885827,4.501972
320,46.482144,27.848587,4.709263
330,45.787426,27.255903,4.903571
340,44.580403,26.425233,4.942554
350,44.109788,26.047345,5.038771
360,44.288500,25.978954,5.320069
370,43.713140,25.422778,5.578973
380,42.643466,24.659256,5.654583
390,42.544398,24.344746,6.027279
400,41.382061,23.498072,6.134953
410,42.578719,24.385393,6.000630
420,41.966265,23.893409,6.126152
430,41.956581,23.697274,6.410670
440,40.620933,22.679350,6.601908
450,41.173330,22.958927,6.734939
460,39.944324,22.016566,6.919475
470,40.375682,22.132561,7.176841
480,39.659517,21.541544,7.347201
490,39.581588,21.320642,7.600625
500,39.121950,21.000467,7.621249
510,39.085563,20.837594,7.829172
520,39.156490,20.923110,7.771825
530,39.308547,20.973886,7.847718
540,38.285007,20.243321,7.920025
550,38.693830,20.342745,8.179713
560,38.252694,20.058669,8.164691
570,38.029716,19.799404,8.330610
580,37.930399,19.746205,8.311091
590,37.351987,19.255887,8.468157
600,37.439303,19.237734,8.582702
610,36.530216,18.490999,8.793717
620,36.968295,18.850781,8.692124
630,35.347039,17.627746,8.905420
640,35.333299,17.527130,9.042604
650,34.804475,17.059982,9.214501
660,34.689649,16.811751,9.472022
670,35.213772,17.185552,9.435444
680,34.616309,16.539883,9.806485
690,34.362597,16.323831,9.876850
700,34.041309,15.967767,10.089659
710,33.662946,15.456959,10.477508
720,33.913934,15.596059,10.519845
730,33.463056,15.271047,10.556486
740,33.184315,14.941072,10.772707
750,32.941611,14.733268,10.841709
760,32.926858,14.719855,10.847075
770,32.296812,14.310990,10.830328
780,32.405415,14.289231,10.971569
790,32.251170,14.148085,11.029043
800,31.936582,13.910554,11.070750
810,32.219590,14.035349,11.166566
820,32.092787,13.933545,11.192469
830,31.979938,13.820024,11.249902
840,31.183893,13.336390,11.179309
850,30.972980,13.098947,11.324561
860,31.269936,13.297341,11.323925
870,30.733224,12.827820,11.491494
880,31.308973,13.246840,11.438713
890,30.605906,12.558669,11.767902
900,30.694900,12.629944,11.749984
910,30.290179,12.405799,11.681480
920,30.428619,12.469088,11.724988
930,29.261843,11.586013,11.882824
940,30.095177,12.171828,11.837435
950,30.361926,12.364903,11.814571
960,29.728966,11.950583,11.803091
970,29.179145,11.513763,11.908501
980,29.429697,11.669064,11.926101
990,29.125143,11.416852,11.999865
1000,29.053420,11.386286,11.973990
1010,28.731921,11.171300,11.974971
1020,29.061823,11.405396,11.953729
1030,28.794717,11.132512,12.095949
1040,28.639713,10.984726,12.162623
1050,28.334829,10.727868,12.243027
1060,27.904529,10.365369,12.356475
1070,28.492468,10.695346,12.449449
1080,27.951443,10.356183,12.417169
1090,27.918087,10.253179,12.538319
1100,28.238580,10.489927,12.503690
1110,28.033619,10.353056,12.504036
1120,27.830979,10.182261,12.557588
1130,27.568922,9.945584,12.650546
1140,27.883491,10.137264,12.677595
1150,27.174840,9.662268,12.681438
1160,27.362512,9.825140,12.624802
1170,27.383381,9.831489,12.636147
1180,27.022723,9.492863,12.783430
1190,26.645387,9.226328,12.805894
1200,26.616160,9.159418,12.877033
1210,26.538026,9.079523,12.918741
1220,26.248445,8.849953,12.973515
1230,25.947967,8.660449,12.957293
1240,26.134956,8.743707,13.019396
1250,25.620707,8.310820,13.154477
1260,25.628327,8.336164,13.124081
1270,25.167715,8.035308,13.114754
1280,25.350977,8.135583,13.147603
1290,25.261773,7.985434,13.283622
1300,25.589429,8.240844,13.228163
1310,24.849646,7.645771,13.380990
1320,25.251245,7.937349,13.345221
1330,24.802298,7.651395,13.325205
1340,25.019716,7.762106,13.376557
1350,24.967603,7.690951,13.431178
1360,24.453378,7.292717,13.514302
1370,24.457584,7.256609,13.572671
1380,24.347071,7.181722,13.574488
1390,24.641223,7.420077,13.511108
1400,24.691198,7.467100,13.490550
1410,24.295808,7.110675,13.629796
1420,24.010199,6.872118,13.702022
1430,23.958947,6.777531,13.792651
1440,23.885266,6.746835,13.765013
1450,23.541641,6.501362,13.789598
1460,23.716198,6.583460,13.841008
1470,23.558681,6.474682,13.846658
1480,23.446197,6.421678,13.813679
1490,23.357363,6.385270,13.779458
1500,23.597380,6.635137,13.644675
1510,23.480214,6.588367,13.597663
1520,23.443439,6.552729,13.614346
1530,23.363427,6.525637,13.574971
1540,22.916419,6.183154,13.641688
1550,22.886828,6.175378,13.623761
1560,23.013990,6.289297,13.580043
1570,23.016958,6.279334,13.597957
1580,22.875568,6.222546,13.541749
1590,22.624692,6.025896,13.585847
1600,22.922145,6.226585,13.582267
1610,22.705670,5.995932,13.711772
1620,22.610367,5.973029,13.650824
1630,22.424775,5.875675,13.611263
1640,22.417136,5.943650,13.501661
1650,22.432263,5.969056,13.478680
1660,22.395554,5.945087,13.477923
1670,22.448754,5.891635,13.611300
1680,22.227018,5.801732,13.524421
1690,22.377828,5.895130,13.535132
1700,22.173894,5.721489,13.591660
1710,22.240997,5.810711,13.524931
1720,22.383704,5.862680,13.589683
1730,22.030244,5.637558,13.573908
1740,22.280470,5.771524,13.623184
1750,22.040607,5.625754,13.601976
1760,22.182291,5.698587,13.634412
1770,22.174345,5.729832,13.579597
1780,21.880688,5.486836,13.650435
1790,21.691951,5.350694,13.665910
1800,21.892587,5.424523,13.755803
1810,21.767026,5.355556,13.733692
1820,21.361353,5.110791,13.695167
1830,21.586154,5.284292,13.659715
1840,21.438997,5.190638,13.653040
1850,21.284907,5.068961,13.681466
1860,21.406464,5.059994,13.816472
1870,21.161381,4.910631,13.795434
1880,21.175031,4.982354,13.701500
1890,21.266129,5.071775,13.658466
1900,21.146490,4.973547,13.686170
1910,21.142933,4.989017,13.659407
1920,21.108745,5.000497,13.607999
1930,20.993701,4.963477,13.548486
1940,21.039493,4.963420,13.594362
1950,21.185524,5.076078,13.571408
