iter,overall,attack,distortion
0,61.732601,41.098981,0.084128
10,59.990573,39.729324,0.396588
20,59.675913,39.329143,0.682199
30,60.790541,39.973859,0.829752
40,59.953811,39.245268,1.085907
50,58.666100,38.133606,1.465691
60,59.466191,38.615674,1.542681
70,60.766766,39.276734,1.851665
80,58.851991,37.980193,1.881702
90,55.704523,35.691340,2.167513
100,56.955435,36.376770,2.390281
110,57.470399,36.582281,2.596976
120,55.613999,35.229611,2.769582
130,54.665797,34.281206,3.243986
140,55.135195,34.587681,3.253674
150,54.846869,34.224028,3.510827
160,53.335798,32.991377,3.848732
170,52.492601,32.398982,3.894127
180,53.345791,32.808712,4.132723
190,52.269603,32.021453,4.237423
200,51.201001,30.950653,4.775022
210,50.180956,30.129460,4.986766
220,50.505258,30.246528,5.135467
230,51.397126,30.825466,5.158928
240,50.415891,30.195571,5.122535
250,47.192374,27.935244,5.289508
260,49.650948,29.358592,5.613060
270,48.840195,28.681789,5.817512
280,48.909562,28.719919,5.829684
290,46.901441,27.321401,5.919340
300,45.832091,26.408097,6.219946
310,46.752957,26.861584,6.460581
320,46.908391,26.937942,6.501478
330,46.944214,26.889840,6.609455
340,46.103130,26.004450,7.096456
350,45.463390,25.789981,6.778420
360,45.416154,25.439636,7.256699
370,44.326689,24.604201,7.420389
380,43.967279,24.292630,7.528334
390,43.304000,23.806778,7.593832
400,42.780624,23.202645,7.976656
410,41.331760,21.999400,8.332661
420,42.550470,22.824220,8.314141
430,41.899874,22.448839,8.226614
440,41.387528,21.866087,8.588397
450,41.546326,21.915546,8.673006
460,40.971710,21.581252,8.599833
470,40.668386,21.196037,8.874332
480,40.128743,20.706869,9.068440
490,39.825136,20.426951,9.184709
500,40.434056,20.924469,9.047352
510,39.158908,20.048421,9.086277
520,41.003234,21.166242,9.253870
530,40.681612,20.813535,9.461308
540,40.113340,20.458960,9.424900
550,38.399110,19.172472,9.640402
560,38.986818,19.369656,9.932334
570,40.148973,20.032835,10.099719
580,39.369395,19.435304,10.216437
590,37.330181,18.114184,10.158905
600,37.813113,18.264370,10.416559
610,36.920090,17.548164,10.597845
620,36.306268,16.929759,10.911630
630,35.882348,16.466955,11.181915
640,37.886040,17.796136,11.191837
650,39.193057,18.453047,11.513486
660,35.274497,15.950713,11.348427
670,34.951846,15.672603,11.442942
680,35.992416,16.215817,11.668690
690,36.404936,16.594437,11.513281
