iter,overall,attack,distortion
0,61.739562,41.110606,0.073653
10,59.795533,39.519351,0.516507
20,57.298724,37.658485,0.810996
30,58.736365,38.488148,1.004142
40,59.567767,38.837256,1.311882
50,59.352064,38.121581,2.169693
60,59.637286,38.255104,2.254629
70,58.260517,37.112497,2.591771
80,57.377426,36.322451,2.893750
90,57.280205,35.825195,3.542413
100,57.285249,35.904293,3.428808
110,55.626628,34.459546,3.937309
120,53.492268,32.698158,4.445032
130,50.552716,30.045754,5.484087
140,51.482881,31.052187,4.904600
150,52.126247,31.303460,5.171057
160,52.042932,31.092096,5.404789
170,51.785015,30.779412,5.615896
180,51.895815,30.823717,5.660240
190,52.999782,31.471900,5.791932
200,51.634742,30.402232,6.031394
210,50.173837,29.213469,6.353634
220,50.669119,29.512716,6.400045
230,50.966650,29.409612,6.852232
240,50.409592,29.241284,6.547667
250,47.909845,27.166990,7.159360
260,48.415567,27.623459,6.980380
270,48.114932,27.268608,7.212020
280,50.682185,28.799350,7.483160
290,49.664444,27.911956,7.796512
300,51.006622,28.734048,7.905549
310,47.588864,26.298797,8.140668
320,44.669290,23.924238,8.782933
330,46.377589,25.207872,8.565780
340,45.682901,24.917247,8.307032
350,45.153994,24.710072,8.088885
360,45.006861,24.166202,8.757557
370,47.254247,25.661761,8.761605
380,48.251077,26.124826,9.063838
390,47.522779,25.599620,9.123348
400,48.096379,26.115845,8.922612
410,46.575767,24.856185,9.291489
420,45.891545,24.380592,9.320658
430,44.066809,22.801229,9.864965
440,42.985000,22.272779,9.575833
450,43.074041,22.545488,9.255809
460,42.193143,21.772999,9.533646
470,43.725690,22.552032,9.897643
480,42.284631,21.341416,10.272508
490,43.916570,22.449540,10.242261
500,43.481835,22.200917,10.180460
510,41.806071,21.011698,10.288523
520,43.080622,22.068485,9.977896
530,44.335598,22.760387,10.195018
540,43.731329,21.892960,10.891889
550,41.704163,20.543417,10.889038
560,42.931124,21.422633,10.797175
570,42.856218,21.171385,11.099140
580,39.928428,19.123054,11.243847
590,41.199872,19.965463,11.251677
600,42.287348,20.903928,10.931455
610,41.322367,20.233257,10.972481
620,40.884241,19.737534,11.277941
630,42.002772,20.591131,11.116075
640,41.654373,20.432263,11.005978
650,40.175740,19.108673,11.512730
660,39.962170,18.885837,11.633415
670,39.516230,18.183135,12.241528
680,40.674778,19.235170,11.822022
690,41.059959,19.680908,11.538596
700,40.541154,19.194249,11.749780
710,39.604774,18.592068,11.716672
720,39.956783,19.001219,11.454954
730,37.038939,16.944135,11.622737
740,38.155501,17.469270,11.951596
750,37.472346,16.956201,12.038044
760,37.532263,16.890173,12.197004
770,40.179982,18.639296,12.221038
780,40.009177,18.527451,12.218000
790,40.878903,19.116045,12.204835
800,40.164246,18.408176,12.551981
810,39.064771,17.837450,12.308597
820,37.972271,17.139870,12.262466
830,37.322770,16.680913,12.301400
840,34.622898,14.735082,12.520275
850,35.869169,15.327110,12.878505
860,36.316724,15.683098,12.792078
870,35.841817,15.486956,12.611383
880,37.151748,16.338805,12.643540
890,36.239960,15.573940,12.879051
900,36.310935,15.667796,12.809242
910,35.925669,15.437256,12.769785
920,35.030958,14.735462,12.927765
930,34.419907,14.514396,12.648313
940,35.033714,14.934603,12.631810
950,36.765441,16.125409,12.577328
960,35.847311,15.403641,12.741849
970,34.605876,14.565170,12.758122
980,33.919148,13.982140,12.945938
990,33.421224,13.515830,13.147478
1000,32.847667,13.180054,13.077587
1010,34.238094,14.082804,13.113887
1020,33.567723,13.504619,13.310794
1030,34.063057,13.928178,13.170789
1040,32.460930,12.906418,13.101302
1050,32.022098,12.518333,13.244599
1060,31.131023,12.046441,13.061362
