iter,overall,attack,distortion
0,61.693401,41.036588,0.138518
10,58.349666,38.292776,0.910501
20,59.961198,38.872399,1.652598
30,59.185579,37.947795,2.263888
40,57.519682,36.914210,2.148367
50,55.720238,35.331040,2.723677
60,56.308011,35.481972,3.085054
70,58.281175,36.856047,2.997105
80,54.915450,34.378286,3.348020
90,54.799527,34.216398,3.474930
100,54.191387,33.553983,3.860411
110,53.556015,32.821304,4.324058
120,51.425524,31.321667,4.443023
130,50.558392,30.284148,5.132171
140,50.999836,30.396115,5.405664
150,50.641968,29.987288,5.661036
160,48.922291,28.792059,5.734203
170,46.251829,26.679457,6.232644
180,45.865082,26.223035,6.530529
190,47.183035,26.984913,6.705666
200,44.385265,24.554097,7.554120
210,45.014503,24.749682,7.889980
220,44.375051,24.241254,8.013169
230,44.150349,24.017780,8.123680
240,43.769550,23.173793,9.008859
250,44.162341,23.562059,8.819254
260,43.511896,22.872008,9.203884
270,42.942334,22.202555,9.638501
280,43.022457,22.153566,9.792107
290,41.768805,21.452206,9.590496
300,41.228104,20.834955,9.975672
310,39.275448,19.269610,10.371033
320,41.296035,20.543036,10.481482
330,37.626828,17.954279,10.695410
340,38.084888,18.080179,10.964620
350,38.138199,18.008166,11.125950
360,38.020582,17.775844,11.356816
370,36.727615,16.835901,11.473764
380,36.771685,16.835794,11.517994
390,36.584995,16.474647,11.873025
400,36.215665,16.396059,11.621576
410,36.133938,16.251086,11.757309
420,35.248738,15.533794,11.948047
430,35.013308,15.335497,12.010063
440,33.143367,13.930798,12.247169
450,34.845787,15.000574,12.344926
460,34.943966,14.999892,12.444129
470,31.117861,12.327870,12.626057
480,30.555000,11.822965,12.820553
490,32.004837,12.865320,12.706856
500,31.013762,12.101792,12.861074
510,29.346823,10.945889,12.927990
520,28.892575,10.680321,12.872093
530,29.290556,10.882326,12.967067
540,28.405015,10.240272,13.044606
550,27.337134,9.498028,13.090091
560,28.194541,10.033720,13.143961
570,27.919902,9.765914,13.271031
580,27.292134,9.479345,13.073116
590,28.306077,10.013332,13.286079
600,28.330747,10.078189,13.213465
610,27.625594,9.604778,13.218428
620,25.973244,8.471771,13.265587
630,27.255602,9.277802,13.338898
640,27.032151,9.018584,13.504275
650,26.688602,8.911624,13.321166
660,26.372034,8.618505,13.444277
670,26.206646,8.387629,13.625202
680,24.982697,7.562382,13.639123
690,24.621716,7.329308,13.627754
700,25.687382,7.934218,13.786055
710,25.312883,7.468418,14.110257
720,25.252544,7.473492,14.042307
730,24.493222,7.007013,13.982702
740,23.384192,6.216003,14.060188
