iter,overall,attack,distortion
0,61.603751,40.922931,0.219353
10,61.080524,40.125720,0.891944
20,60.071288,39.244639,1.204329
30,60.230840,39.360299,1.190391
40,59.181702,38.357972,1.644744
50,57.302492,36.599986,2.402513
60,57.565786,36.716419,2.491157
70,57.121308,36.158873,2.883000
80,55.233022,34.762584,3.089147
90,52.756088,32.402171,4.152832
100,52.876387,32.369848,4.321616
110,51.316470,31.005369,4.808416
120,49.644391,29.353430,5.614246
130,50.867266,30.292814,5.428047
140,48.878197,28.736402,5.773593
150,47.324884,27.512455,6.056202
160,45.330495,25.912367,6.461944
170,46.094765,26.391590,6.507380
180,45.059209,25.331264,7.062313
190,44.909740,25.160422,7.169107
200,42.701266,23.398499,7.603518
210,41.461876,22.039510,8.402611
220,41.465579,21.852937,8.686173
230,38.454869,19.451977,9.276902
240,38.851436,19.279467,9.932236
250,38.222285,18.818176,9.995022
260,37.621443,17.908805,10.758236
270,35.981628,16.677475,10.965416
280,36.774294,17.362145,10.731076
290,35.492869,16.373671,10.932362
300,35.259803,16.068577,11.156937
310,34.377389,15.272844,11.468123
320,33.255113,14.603822,11.349380
330,32.008747,13.661635,11.516294
340,33.208458,14.405296,11.600515
350,32.113483,13.547534,11.792181
360,32.142300,13.430111,11.997134
370,32.484357,13.658785,11.996179
380,31.542998,13.028241,12.000636
390,31.771324,13.141751,12.058697
400,31.296528,12.846196,12.027234
410,31.468310,12.986825,11.988073
420,31.358288,12.754812,12.226070
430,30.378983,12.168582,12.126110
440,29.375521,11.466145,12.176304
450,29.706263,11.530322,12.410779
460,29.893835,11.716476,12.319122
470,29.338180,11.512658,12.069192
480,28.182138,10.711910,12.114274
490,28.457933,10.960918,12.016555
500,28.860222,11.197247,12.064351
510,28.178531,10.617967,12.251581
520,28.007975,10.423721,12.372394
530,27.744283,10.261021,12.352752
540,27.875045,10.424974,12.237585
550,27.480079,9.970687,12.524049
560,27.848052,10.214329,12.526558
570,27.785153,9.959682,12.845630
580,27.178766,9.618244,12.751400
590,26.943687,9.370306,12.888227
600,26.738601,9.198091,12.941463
610,26.716719,9.155806,12.983010
620,25.963011,8.453009,13.283497
630,26.464009,8.776807,13.298799
640,25.940969,8.316179,13.466700
650,26.036492,8.287570,13.605137
660,25.760209,8.109522,13.595926
670,25.640078,7.988195,13.657785
680,26.155620,8.195610,13.862206
690,25.441764,7.769130,13.788069
700,25.099242,7.386594,14.019350
710,25.087776,7.261678,14.195259
720,24.834934,7.232733,13.985835
730,25.200979,7.432950,14.051555
740,25.110290,7.368107,14.058130
750,25.004949,7.161477,14.262733
760,25.364906,7.251029,14.488363
770,24.574095,6.794419,14.382466
780,24.544281,6.797439,14.348123
790,24.541822,6.838830,14.283577
800,23.958496,6.415986,14.334516
810,24.076531,6.399639,14.477072
820,24.289944,6.546890,14.469610
830,23.785813,6.185184,14.508037
840,24.018156,6.378878,14.449839
850,23.770250,6.233997,14.419255
860,24.155798,6.367764,14.604152
870,23.388615,5.840842,14.627352
880,23.672029,6.052434,14.593378
890,23.230738,5.728333,14.638239
900,23.036766,5.671296,14.529821
910,22.840440,5.437891,14.683603
920,23.280294,5.718903,14.701939
930,23.368521,5.843582,14.603148
940,22.778545,5.496546,14.533726
950,22.917472,5.627671,14.475964
960,22.727159,5.519707,14.447599
970,22.682163,5.395378,14.589096
980,23.020764,5.641504,14.558509
990,22.566189,5.411154,14.449457
1000,22.385778,5.252325,14.507290
1010,22.296540,5.108774,14.633379
1020,22.278330,5.099821,14.628599
1030,22.564001,5.234825,14.711763
1040,22.315526,5.094865,14.673229
1050,22.001517,4.880612,14.680600
1060,22.247202,5.002052,14.744124
1070,22.131196,4.998936,14.632792
1080,21.852174,4.689957,14.817238
1090,21.695922,4.669958,14.690985
1100,22.506462,5.177789,14.739778
1110,21.978925,4.792103,14.790770
1120,21.827719,4.793463,14.637524
1130,21.493250,4.537893,14.686411
1140,21.881040,4.824956,14.643606
1150,21.718157,4.772005,14.560149
1160,21.497898,4.622732,14.563800
1170,21.857202,4.877307,14.541242
1180,21.866684,4.852274,14.588272
1190,21.616054,4.718508,14.538292
1200,21.671534,4.792692,14.482496
1210,22.067662,5.018025,14.540625
1220,21.957186,4.910249,14.591813
1230,21.968000,4.938107,14.560839
1240,21.852606,4.883438,14.527448
1250,21.567941,4.805536,14.359637
1260,21.375477,4.754553,14.243647
1270,22.056964,5.105157,14.399228
1280,21.944118,5.173423,14.183983
1290,21.236169,4.669580,14.231799
1300,21.327839,4.751541,14.200527
1310,21.437939,4.746182,14.318665
1320,21.260695,4.566151,14.411469
1330,21.908959,4.946896,14.488614
1340,21.506035,4.581092,14.634397
1350,21.404931,4.675921,14.391050
1360,21.003788,4.402617,14.399862
1370,20.963314,4.410531,14.347518
1380,21.176867,4.529927,14.381976
1390,20.643831,4.227075,14.303218
1400,20.430996,4.105019,14.273468
1410,20.644398,4.240050,14.284323
1420,20.836192,4.407461,14.225001
1430,20.787633,4.312659,14.318645
1440,20.833893,4.312241,14.365532
1450,20.899644,4.423812,14.263926
1460,20.884044,4.385450,14.305869
1470,20.393059,4.057922,14.306176
1480,20.662402,4.346059,14.143314
1490,20.184464,3.945738,14.265857
1500,20.266137,4.062334,14.172635
1510,20.348780,4.040012,14.288762
1520,20.015447,3.688362,14.482904
1530,19.979441,3.689856,14.444657
1540,19.916443,3.749217,14.292618
