folder,i,serial,combo,best_overall,csv_path
labels_0,1,0,0,6.068586,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0/iter_metrics.csv
labels_1,1,1,1,6.140036,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1/iter_metrics.csv
labels_2,1,2,2,16.788867,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2/iter_metrics.csv
labels_3,1,3,3,21.381987,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_3/iter_metrics.csv
labels_4,1,4,4,10.362456,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_4/iter_metrics.csv
labels_5,1,5,5,15.722944,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_5/iter_metrics.csv
labels_6,1,6,6,8.797269,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_6/iter_metrics.csv
labels_7,1,7,7,7.318794,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_7/iter_metrics.csv
labels_8,1,8,8,7.5043,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_8/iter_metrics.csv
labels_9,1,9,9,8.345695,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_9/iter_metrics.csv
labels_0-6,2,5,0-6,7.793011,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-6/iter_metrics.csv
labels_1-4,2,11,1-4,6.764489,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1-4/iter_metrics.csv
labels_2-5,2,19,2-5,12.367855,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-5/iter_metrics.csv
labels_2-6,2,20,2-6,16.723213,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-6/iter_metrics.csv
labels_2-7,2,21,2-7,12.815066,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-7/iter_metrics.csv
labels_3-9,2,29,3-9,13.549731,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_3-9/iter_metrics.csv
labels_4-5,2,30,4-5,14.108112,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_4-5/iter_metrics.csv
labels_5-6,2,35,5-6,12.040802,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_5-6/iter_metrics.csv
labels_6-7,2,39,6-7,10.213979,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_6-7/iter_metrics.csv
labels_7-9,2,43,7-9,7.266264,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_7-9/iter_metrics.csv
labels_0-1-2,3,0,0-1-2,12.647922,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-1-2/iter_metrics.csv
labels_0-1-6,3,4,0-1-6,8.767715,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-1-6/iter_metrics.csv
labels_0-2-4,3,9,0-2-4,11.714149,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-2-4/iter_metrics.csv
labels_0-4-6,3,22,0-4-6,10.90661,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-4-6/iter_metrics.csv
labels_0-4-7,3,23,0-4-7,11.742684,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-4-7/iter_metrics.csv
labels_1-2-6,3,39,1-2-6,8.618171,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1-2-6/iter_metrics.csv
labels_2-7-9,3,83,2-7-9,14.736816,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-7-9/iter_metrics.csv
labels_4-6-7,3,104,4-6-7,9.63322,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_4-6-7/iter_metrics.csv
labels_4-7-9,3,108,4-7-9,9.499398,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_4-7-9/iter_metrics.csv
labels_5-7-8,3,113,5-7-8,11.506207,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_5-7-8/iter_metrics.csv
labels_0-1-6-8,4,23,0-1-6-8,9.621602,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-1-6-8/iter_metrics.csv
labels_0-2-6-7,4,43,0-2-6-7,12.636357,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-2-6-7/iter_metrics.csv
labels_0-2-7-8,4,46,0-2-7-8,14.085276,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-2-7-8/iter_metrics.csv
labels_0-5-7-8,4,77,0-5-7-8,12.704523,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-5-7-8/iter_metrics.csv
labels_1-4-6-8,4,125,1-4-6-8,8.159568,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1-4-6-8/iter_metrics.csv
labels_1-4-6-9,4,126,1-4-6-9,10.442023,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1-4-6-9/iter_metrics.csv
labels_2-3-4-7,4,142,2-3-4-7,22.961264,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-3-4-7/iter_metrics.csv
labels_2-3-6-8,4,150,2-3-6-8,16.61261,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-3-6-8/iter_metrics.csv
labels_2-6-7-8,4,171,2-6-7-8,11.121526,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-6-7-8/iter_metrics.csv
labels_3-4-6-7,4,179,3-4-6-7,18.01039,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_3-4-6-7/iter_metrics.csv
labels_0-1-2-3-6,5,2,0-1-2-3-6,16.512502,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-1-2-3-6/iter_metrics.csv
labels_0-1-3-4-9,5,25,0-1-3-4-9,18.705275,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-1-3-4-9/iter_metrics.csv
labels_0-2-3-4-9,5,60,0-2-3-4-9,16.486625,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-2-3-4-9/iter_metrics.csv
labels_0-3-5-6-8,5,102,0-3-5-6-8,14.474206,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-3-5-6-8/iter_metrics.csv
labels_0-5-6-7-8,5,121,0-5-6-7-8,13.91563,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_0-5-6-7-8/iter_metrics.csv
labels_1-4-6-7-9,5,188,1-4-6-7-9,14.574622,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_1-4-6-7-9/iter_metrics.csv
labels_2-3-4-5-7,5,197,2-3-4-5-7,27.226944,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-3-4-5-7/iter_metrics.csv
labels_2-3-4-6-8,5,201,2-3-4-6-8,17.793702,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-3-4-6-8/iter_metrics.csv
labels_2-4-6-7-9,5,223,2-4-6-7-9,10.369517,/home/abc/Simulation_nn_robust_attacks-master/githup/Data Heter/HICZ_Heterogeneity_Compressed_SaveAdv/labels_2-4-6-7-9/iter_metrics.csv
