iter,overall,attack,distortion
0,19.649818,5.390737,11.563712
10,19.512685,5.313610,11.542269
20,19.792688,5.480238,11.572332
30,19.315971,5.173083,11.556346
40,19.359065,5.187065,11.578468
50,19.508863,5.380682,11.437840
60,19.515923,5.275523,11.602638
70,19.649277,5.350072,11.624169
80,19.424891,5.139915,11.715018
90,19.445251,5.163918,11.699373
100,19.674140,5.275817,11.760414
110,19.539475,5.194187,11.748194
120,19.607808,5.167648,11.856337
130,19.905349,5.368762,11.852206
140,19.924016,5.418090,11.796881
150,19.358271,5.095877,11.714455
160,19.712490,5.329503,11.718236
170,19.574493,5.268102,11.672341
180,19.484856,5.289001,11.551355
190,19.643750,5.393568,11.553399
200,19.532672,5.266987,11.632191
210,19.738224,5.345976,11.719260
220,19.734415,5.315746,11.760795
230,20.103506,5.525283,11.815582
240,19.491973,5.169431,11.737827
250,19.914255,5.496477,11.669539
260,19.608805,5.258977,11.720340
270,19.632169,5.297779,11.685500
280,19.559234,5.252175,11.680972
290,19.629128,5.271919,11.721249
300,19.574631,5.260704,11.683575
310,19.751414,5.355765,11.717767
320,19.569994,5.222187,11.736714
330,19.504130,5.182040,11.731071
340,19.809268,5.470075,11.604156
350,20.116274,5.640786,11.655094
360,19.574681,5.199159,11.775943
370,19.935364,5.419846,11.805594
380,20.213682,5.545318,11.895704
390,19.716434,5.260586,11.825555
400,19.809609,5.258077,11.922492
410,19.822525,5.300796,11.871332
420,19.923327,5.303543,11.968013
430,19.453499,4.990529,11.967706
440,19.903058,5.315284,11.930132
450,20.088220,5.391608,12.000809
460,20.044278,5.350061,12.019187
470,19.846694,5.238901,11.988343
480,19.597390,5.071985,11.989412
490,19.819421,5.124329,12.132928
500,19.689112,5.047692,12.117573
510,19.726578,5.138371,12.019021
520,19.968351,5.237169,12.112599
530,19.895046,5.204131,12.088848
540,19.612971,5.069897,12.008125
550,19.752946,5.125502,12.064693
560,19.645472,5.061584,12.053096
570,19.517716,4.969008,12.064203
580,19.544194,5.025350,12.006169
590,19.568882,5.031980,12.020912
600,19.761239,5.216100,11.937089
610,19.548261,5.102206,11.894952
620,19.516143,5.075351,11.903116
630,19.506378,5.070419,11.900750
640,19.592707,5.153462,11.862514
650,19.436381,5.011785,11.918703
660,19.334748,4.940251,11.924372
670,19.239612,4.903779,11.883943
680,19.219466,4.871611,11.912051
690,19.533951,5.069688,11.929419
700,19.330527,5.019655,11.801045
710,19.302565,4.970530,11.846771
720,19.305333,4.942135,11.892131
730,19.452510,5.069081,11.848888
740,19.284092,4.948106,11.861933
750,18.983285,4.758384,11.845709
760,19.087561,4.844965,11.820114
770,19.172437,4.959581,11.733065
780,19.315735,5.078821,11.697504
790,19.594498,5.168202,11.842195
800,19.622352,5.132131,11.924155
810,19.697582,5.137818,11.990856
820,19.623207,5.112707,11.954146
830,19.223377,4.864470,11.926672
840,19.169641,4.883729,11.844047
850,19.588001,5.183714,11.812430
860,19.183304,4.896157,11.839069
870,19.419570,5.011712,11.902003
880,19.486160,5.024292,11.949723
890,19.327615,4.904034,11.971564
900,19.152468,4.803230,11.947623
910,19.382674,4.999929,11.882781
920,19.552280,5.024160,12.016040
930,19.296784,4.870861,11.990492
940,19.478408,4.972548,12.019586
950,18.857944,4.580484,11.987217
960,19.446160,4.979649,11.976687
970,19.667327,5.147662,11.945833
980,19.439729,4.976089,11.975595
990,19.086534,4.746343,11.967019
1000,19.225299,4.873003,11.915795
1010,19.398251,4.986817,11.918025
1020,19.129084,4.813016,11.909560
1030,19.425910,5.025145,11.888192
1040,19.200212,4.863494,11.904971
1050,19.276491,4.967061,11.825899
1060,18.857335,4.631468,11.910132
1070,19.482020,5.050915,11.905648
1080,19.138073,4.773056,11.978488
1090,19.089114,4.789331,11.905117
1100,18.841187,4.681882,11.818364
1110,18.861102,4.674268,11.849701
1120,19.140378,4.927663,11.748884
1130,18.881677,4.637428,11.925535
1140,18.976343,4.689514,11.942072
1150,19.208060,4.895164,11.865313
1160,19.251993,4.835754,11.998361
1170,19.146260,4.784538,11.969453
1180,19.186253,4.879693,11.866714
1190,19.131155,4.871909,11.823291
1200,19.098965,4.844877,11.831649
1210,19.168053,4.866808,11.867840
1220,19.189364,4.876810,11.874149
1230,19.254838,4.919198,11.876042
1240,19.155241,4.824288,11.918808
1250,18.903100,4.628330,11.960604
1260,19.356572,4.968069,11.904468
1270,19.202016,4.809067,11.988415
1280,19.278537,4.887051,11.947961
1290,19.300403,4.934806,11.898194
1300,19.047586,4.731088,11.950954
1310,19.344709,4.956328,11.910217
1320,19.052289,4.777026,11.886750
1330,18.955692,4.709613,11.891272
1340,19.128433,4.859077,11.839817
1350,18.759338,4.648643,11.786373
1360,18.923582,4.821731,11.690985
1370,19.101173,4.899705,11.751616
1380,18.968093,4.868847,11.664822
1390,19.182648,4.936933,11.777249
1400,19.199703,4.986615,11.719779
1410,19.454192,5.105553,11.795862
1420,18.847057,4.685414,11.818936
1430,19.285570,4.953743,11.854955
1440,19.308953,4.953494,11.878712
1450,19.126089,4.856306,11.841631
1460,18.876450,4.677181,11.860679
1470,19.013900,4.701307,11.961940
1480,19.531108,5.154200,11.799807
1490,19.224889,4.934559,11.823050
1500,18.916192,4.610452,12.000514
1510,19.454938,4.957221,12.019107
1520,19.370709,4.811322,12.153726
1530,19.152592,4.738095,12.045450
1540,18.951460,4.604084,12.045335
1550,18.725856,4.400472,12.125148
1560,18.711939,4.480285,11.991512
1570,18.678679,4.428572,12.035821
1580,18.970700,4.537823,12.163966
1590,18.674818,4.326005,12.185811
1600,18.736604,4.368936,12.183199
1610,18.905412,4.522187,12.122131
1620,18.577632,4.326485,12.087904
1630,18.625438,4.353518,12.095160
1640,18.597024,4.346733,12.076924
1650,18.364069,4.268993,11.960580
1660,18.780829,4.519205,12.002022
1670,18.714424,4.528821,11.921193
1680,18.346329,4.284355,11.919796
1690,18.682857,4.518837,11.904601
1700,19.090061,4.787816,11.908337
1710,18.478626,4.367935,11.926723
1720,18.576575,4.423011,11.942059
1730,18.482462,4.420516,11.851689
1740,18.575381,4.441165,11.913633
1750,18.759344,4.530370,11.963788
1760,18.746004,4.555326,11.913015
1770,19.025248,4.737524,11.918961
1780,19.149029,4.754763,12.016884
1790,18.575411,4.353249,12.045538
1800,18.524792,4.359803,11.985088
1810,18.807294,4.589635,11.922843
1820,18.500708,4.357700,11.964158
1830,18.673272,4.450475,11.997560
1840,18.679328,4.440074,12.019218
1850,18.489275,4.434045,11.838208
1860,18.552581,4.365119,12.004903
1870,18.702079,4.456013,12.018060
1880,18.651381,4.442786,11.987202
1890,18.959250,4.653539,11.978942
1900,18.705270,4.383372,12.130211
1910,18.674610,4.430791,12.028422
1920,18.564560,4.243639,12.199103
1930,18.549393,4.337028,12.043850
1940,18.610429,4.377178,12.044662
1950,18.791439,4.570527,11.935649
1960,18.646894,4.444529,11.980100
1970,18.416776,4.309489,11.952543
1980,18.367472,4.248103,11.995316
1990,18.537324,4.411934,11.919422
2000,18.913892,4.655735,11.930290
2010,18.385790,4.245381,12.017719
2020,18.531730,4.309222,12.067897
2030,18.611033,4.397990,12.014047
2040,18.290129,4.204995,11.982636
2050,18.400298,4.231969,12.052345
2060,18.539363,4.369138,11.985656
2070,18.536181,4.399386,11.937102
2080,18.543641,4.384459,11.966953
2090,18.295979,4.239110,11.937314
2100,18.681888,4.561477,11.839672
2110,18.491734,4.357701,11.955182
2120,18.503252,4.463761,11.807610
2130,18.845796,4.577563,11.979451
2140,19.050702,4.694375,12.009140
2150,18.399111,4.323874,11.913300
2160,18.196489,4.153993,11.965500
2170,18.446973,4.258694,12.058932
2180,18.603685,4.453906,11.922826
2190,18.282996,4.192778,11.993830
2200,18.443844,4.241714,12.081273
2210,18.812669,4.557078,11.977052
2220,19.011508,4.714423,11.939874
2230,18.509436,4.416246,11.885067
2240,18.677446,4.541168,11.865695
2250,18.816939,4.685638,11.788482
2260,18.622689,4.532203,11.824384
2270,18.599977,4.522191,11.816691
2280,18.525940,4.459914,11.836069
2290,18.971743,4.725031,11.884196
2300,18.527935,4.365049,11.980361
2310,18.766243,4.646374,11.796681
2320,18.696070,4.618946,11.767651
2330,18.405083,4.374645,11.843115
2340,18.172541,4.268530,11.769745
2350,18.361420,4.430572,11.715563
2360,18.866423,4.794580,11.674553
2370,18.705104,4.716780,11.629934
2380,18.717775,4.765690,11.569239
2390,18.419268,4.485418,11.691140
2400,18.600656,4.545178,11.782889
2410,19.182743,4.951602,11.755339
2420,18.874427,4.810820,11.658197
2430,18.539493,4.547895,11.717650
2440,18.633634,4.558353,11.796104
2450,18.855630,4.737932,11.748733
2460,19.113302,4.947718,11.691725
2470,19.538653,5.169285,11.784726
2480,18.798751,4.557238,11.962894
