iter,overall,attack,distortion
0,19.238356,5.262586,11.344476
10,19.270561,5.312881,11.301240
20,19.282845,5.319780,11.303176
30,19.177690,5.272439,11.269033
40,19.190308,5.267048,11.289736
50,19.239754,5.360868,11.198452
60,19.228119,5.337352,11.222091
70,19.052766,5.282553,11.128937
80,19.051229,5.253507,11.170968
90,19.077225,5.274953,11.164795
100,19.101040,5.279593,11.181651
110,19.169139,5.376859,11.103851
120,19.315425,5.497883,11.068601
130,19.388458,5.476446,11.173790
140,19.506719,5.476870,11.291415
150,19.365453,5.454937,11.183048
160,19.319407,5.461974,11.126447
170,19.972158,5.819443,11.242993
180,20.036104,5.914522,11.164321
190,19.714825,5.653040,11.235265
200,19.389487,5.420282,11.259064
210,19.600968,5.555870,11.267164
220,19.549143,5.492346,11.310624
230,19.778476,5.643206,11.313666
240,19.594606,5.578761,11.226465
250,19.393718,5.434425,11.242080
260,19.531907,5.498441,11.284245
270,19.395860,5.488014,11.163839
280,19.279066,5.396832,11.183816
290,19.461537,5.507185,11.200759
300,19.476530,5.559923,11.136645
310,19.709841,5.634590,11.257957
320,19.459079,5.488258,11.226693
330,19.525212,5.614702,11.103159
340,19.558367,5.608466,11.145667
350,19.527194,5.621702,11.094642
360,19.455442,5.489525,11.221154
370,19.471117,5.531276,11.174203
380,19.384867,5.553955,11.053934
390,19.253191,5.429179,11.109422
400,19.199527,5.344310,11.183061
410,19.512485,5.605151,11.104760
420,19.294433,5.459375,11.105371
430,19.383217,5.517512,11.106950
440,19.478462,5.603289,11.073528
450,19.468603,5.569641,11.114141
460,19.596665,5.702093,11.043526
470,19.768811,5.713541,11.198500
480,19.582031,5.606503,11.172276
490,19.562574,5.585236,11.184719
500,19.855176,5.772584,11.196300
510,19.684524,5.664564,11.187678
520,19.396660,5.416379,11.272092
530,19.434045,5.432311,11.285579
540,19.701022,5.600964,11.299576
550,19.497289,5.445538,11.328983
560,19.326369,5.344045,11.310301
570,19.578416,5.449436,11.404263
580,19.545642,5.402123,11.442458
590,19.721030,5.562581,11.377158
600,19.532490,5.471029,11.325946
610,19.760411,5.614616,11.338487
620,19.417962,5.370392,11.362373
630,19.533415,5.475512,11.320147
640,19.506945,5.453038,11.327388
650,19.416384,5.319563,11.437040
660,19.931521,5.724963,11.344077
670,19.352744,5.345707,11.334183
680,19.463335,5.450766,11.287186
690,19.482799,5.466430,11.283154
700,19.394365,5.364577,11.347499
710,19.456059,5.465106,11.258400
720,19.003943,5.186411,11.224327
730,19.210609,5.296455,11.265927
740,19.367339,5.370590,11.311455
750,19.234910,5.291928,11.297018
760,19.297261,5.319678,11.317744
770,19.323182,5.371176,11.266419
780,19.133174,5.253988,11.252192
790,19.147308,5.276842,11.232045
800,19.131398,5.255175,11.248635
810,19.594176,5.561346,11.252158
820,19.380635,5.374793,11.318446
830,19.560326,5.508177,11.298060
840,19.204410,5.297287,11.258480
850,19.616126,5.513469,11.345922
860,19.290875,5.301267,11.338974
870,19.627135,5.537910,11.320271
880,19.102441,5.168343,11.349927
890,19.236648,5.301766,11.283999
900,19.166399,5.272056,11.258315
910,19.294679,5.275893,11.380840
920,19.367585,5.334406,11.365976
930,19.219346,5.249125,11.345658
940,19.224467,5.270881,11.318146
950,19.107511,5.212492,11.288774
960,19.085638,5.177368,11.319586
970,19.200456,5.231040,11.353896
980,19.189205,5.268210,11.286890
990,19.215676,5.311074,11.249065
1000,19.315095,5.324515,11.328322
1010,19.608701,5.537860,11.301912
1020,19.192889,5.255514,11.309619
1030,19.376344,5.391140,11.289633
1040,19.258604,5.318402,11.281001
1050,19.247030,5.287406,11.315921
1060,19.427690,5.417691,11.301153
1070,19.369261,5.355631,11.335814
1080,19.098244,5.203946,11.292324
1090,19.511572,5.517728,11.234980
1100,18.987422,5.155752,11.253795
1110,19.200776,5.329222,11.206943
1120,19.162596,5.307337,11.201590
1130,19.285517,5.418406,11.157908
1140,19.022987,5.177701,11.256437
1150,19.340920,5.381212,11.269103
1160,19.464311,5.534357,11.162775
1170,19.383860,5.376881,11.318538
1180,19.272614,5.280556,11.351781
1190,19.386522,5.329362,11.392478
1200,19.342066,5.354071,11.310960
1210,19.239724,5.278172,11.322467
1220,19.259035,5.263074,11.364424
1230,19.394504,5.342708,11.380442
1240,19.068968,5.174209,11.307654
1250,19.126384,5.204121,11.320202
1260,19.245108,5.223987,11.409127
1270,19.449522,5.385024,11.371987
1280,19.100853,5.101487,11.448622
1290,19.202431,5.125531,11.514134
1300,19.161524,5.076826,11.546285
1310,18.938844,4.958893,11.500504
1320,19.242098,5.177779,11.475429
1330,19.245687,5.234781,11.393516
1340,18.940305,5.040139,11.380095
1350,19.090233,5.106104,11.431076
1360,19.398231,5.374527,11.336442
1370,19.076094,5.128039,11.384036
1380,18.972915,5.091904,11.335059
1390,19.021167,5.120086,11.341038
1400,19.147514,5.198420,11.349884
1410,19.191725,5.156401,11.457125
1420,19.306985,5.245792,11.438297
1430,19.067205,5.084524,11.440419
1440,19.152893,5.032938,11.603486
1450,19.204207,5.096619,11.559278
1460,19.123466,5.049600,11.549066
1470,19.135721,5.050056,11.560637
1480,19.004512,5.004104,11.498356
1490,19.079968,5.110629,11.414025
1500,18.973902,5.006213,11.464583
1510,19.048189,5.075477,11.434973
1520,19.121111,5.132408,11.422499
1530,18.879340,5.010934,11.362939
1540,18.898638,5.019379,11.369569
1550,18.820265,5.004867,11.312964
1560,19.212050,5.195406,11.418942
1570,18.854213,5.051386,11.277134
1580,18.852253,5.009023,11.338719
1590,18.840953,5.016205,11.316646
1600,18.634400,4.940033,11.224350
1610,18.643809,4.977413,11.177690
1620,18.832562,5.046290,11.263127
1630,18.846769,5.103415,11.191647
1640,18.496557,4.933218,11.096729
1650,18.594753,5.007233,11.083903
1660,18.719318,5.061877,11.126502
1670,18.654886,4.959417,11.215760
1680,18.492478,4.823540,11.257169
1690,18.672459,4.949381,11.248387
1700,18.554044,4.888621,11.221113
1710,18.691429,4.919218,11.312602
1720,18.589394,4.882669,11.265391
1730,18.544551,4.862616,11.250627
1740,18.545142,4.887146,11.214423
1750,18.486397,4.867226,11.185558
1760,18.400324,4.766519,11.250546
1770,18.507517,4.844077,11.241402
1780,18.584721,4.858237,11.297365
1790,18.727829,4.965909,11.278965
1800,18.653639,4.926054,11.264558
1810,18.504980,4.828410,11.262365
1820,19.108620,5.244835,11.241367
1830,18.604346,4.983338,11.129338
1840,18.562921,4.925287,11.174991
1850,18.707169,5.029893,11.162330
1860,19.200837,5.353011,11.171321
1870,18.666162,4.965554,11.217830
1880,18.849252,5.130670,11.153247
1890,18.758240,4.988705,11.275182
1900,18.720212,4.963995,11.274219
1910,18.647627,4.952011,11.219611
1920,18.702383,4.975881,11.238562
1930,18.754539,4.982406,11.280930
1940,18.699614,4.956057,11.265529
1950,18.776431,4.933309,11.376467
1960,18.766534,4.967251,11.315658
1970,18.993117,5.117117,11.317442
1980,18.705550,4.956619,11.270621
1990,18.766403,5.008102,11.254250
2000,18.857321,5.035401,11.304220
2010,18.637385,4.890708,11.301324
2020,18.735978,4.937258,11.330091
2030,18.677357,4.944442,11.260694
2040,18.759894,4.998190,11.262609
2050,18.611689,4.932888,11.212357
2060,18.648503,4.969807,11.193791
2070,18.660911,4.991881,11.173090
2080,18.624561,4.938347,11.217042
2090,18.778809,4.998561,11.280967
2100,18.583392,4.868242,11.281030
2110,18.419490,4.855799,11.135791
2120,18.613518,4.915141,11.240806
2130,18.603336,4.942084,11.190210
2140,18.534505,4.897030,11.188960
2150,18.516236,4.903405,11.161129
2160,18.491744,4.938688,11.083712
2170,18.328381,4.800983,11.126907
2180,18.610351,4.976776,11.145186
2190,18.778656,5.119707,11.099096
2200,18.878121,5.104848,11.220848
2210,18.445989,4.834628,11.194046
2220,18.485382,4.942910,11.071017
2230,18.571906,4.953138,11.142199
