iter,overall,attack,distortion
0,21.580587,6.025811,12.541872
10,21.649867,6.092387,12.511287
20,21.570679,6.078795,12.452486
30,21.437566,5.996287,12.443135
40,21.917885,6.285444,12.489719
50,21.781827,6.091764,12.644180
60,21.487528,5.890724,12.651442
70,21.568987,6.027799,12.527288
80,21.857626,6.229907,12.512766
90,22.039200,6.298162,12.591957
100,22.391999,6.495392,12.648911
110,22.779609,6.860836,12.488355
120,22.265737,6.433849,12.614964
130,22.155929,6.362828,12.611687
140,21.912169,6.255141,12.529458
150,21.847687,6.241392,12.485599
160,21.913869,6.344646,12.396900
170,21.599144,6.081398,12.477047
180,21.478250,6.009353,12.464220
190,21.900617,6.321139,12.418908
200,21.796407,6.116923,12.621023
210,21.981584,6.214911,12.659217
220,21.657985,6.032769,12.608832
230,22.051553,6.251450,12.674378
240,21.763136,6.082346,12.639616
250,21.798538,6.098064,12.651443
260,21.767190,6.131638,12.569733
270,21.976048,6.327692,12.484510
280,21.602660,6.061570,12.510305
290,21.323634,5.887027,12.493093
300,21.658913,6.131742,12.461300
310,21.811163,6.118077,12.634047
320,21.840278,6.114160,12.669038
330,21.670911,6.047992,12.598922
340,21.668125,6.021348,12.636103
350,21.693651,6.053664,12.613156
360,21.926796,6.197888,12.629964
370,21.846608,6.128218,12.654281
380,21.963175,6.202136,12.659971
390,21.956978,6.210830,12.640733
400,22.043405,6.295420,12.600276
410,22.189883,6.383428,12.614740
420,22.163939,6.306052,12.704860
430,21.610213,5.945577,12.691848
440,22.042725,6.281950,12.619800
450,21.855899,6.131198,12.659102
460,21.694161,6.057689,12.607628
470,21.754059,6.152985,12.524582
480,22.240234,6.378525,12.672447
490,22.082888,6.212153,12.764659
500,22.105196,6.192589,12.816313
510,21.981788,6.138490,12.774053
520,22.014880,6.220303,12.684426
530,21.895421,6.127597,12.704025
540,21.656171,5.997081,12.660550
550,22.296089,6.339015,12.787566
560,22.127471,6.180683,12.856447
570,21.896199,6.158980,12.657730
580,21.957371,6.164133,12.711172
590,22.464116,6.454377,12.782552
600,21.945782,6.193325,12.655794
610,21.980090,6.254794,12.597898
620,21.893361,6.186031,12.614315
630,21.657518,6.021741,12.624907
640,21.948307,6.248369,12.575754
650,21.865260,6.179350,12.596234
660,21.531047,5.934235,12.629695
670,21.799407,6.173178,12.539640
680,21.988979,6.194234,12.697629
690,21.889556,6.191885,12.601730
700,22.212121,6.441430,12.549976
710,22.352853,6.403014,12.748332
720,22.144680,6.304703,12.687625
730,21.955297,6.142383,12.741722
740,21.886533,6.160231,12.646187
750,21.763137,6.007784,12.751461
760,21.687623,5.925189,12.799840
770,21.877098,6.064274,12.780687
780,21.868864,6.072226,12.760525
790,21.748581,6.053952,12.667654
800,21.775001,5.992743,12.785886
810,22.105721,6.235981,12.751750
820,21.770161,5.990921,12.783780
830,21.826476,5.995309,12.833512
840,21.532874,5.791650,12.845399
850,21.852858,5.972287,12.894427
860,21.621923,5.834756,12.869789
870,21.503897,5.732513,12.905128
880,21.809872,5.921747,12.927251
890,21.559438,5.825962,12.820496
900,21.481806,5.768842,12.828543
910,21.728615,5.830523,12.982830
920,21.709811,5.751137,13.083105
930,21.943476,5.938686,13.035447
940,22.124301,6.058737,13.036196
950,21.771674,5.870065,12.966577
960,22.002030,5.988182,13.019757
970,21.662826,5.741178,13.051059
980,22.140077,6.070700,13.034027
990,22.047745,6.038679,12.989726
1000,21.981752,5.963676,13.036238
1010,21.628027,5.744178,13.011760
1020,21.630847,5.695447,13.087677
1030,21.615609,5.714476,13.043895
1040,21.599354,5.755074,12.966742
1050,21.664790,5.811000,12.948290
1060,21.818521,5.894129,12.977326
1070,21.772179,5.900486,12.921450
1080,21.868576,5.982987,12.894096
1090,21.607167,5.767747,12.955546
1100,21.651101,5.827418,12.909974
1110,21.970958,6.075966,12.857010
1120,21.655002,5.798799,12.956803
1130,21.683637,5.854475,12.901925
1140,21.553408,5.789937,12.868503
1150,21.474116,5.548542,13.151303
1160,21.789289,5.828540,13.046479
1170,21.810279,5.931638,12.912823
1180,21.355877,5.680362,12.835334
1190,21.476334,5.742462,12.862641
1200,21.309899,5.655133,12.827200
1210,21.548712,5.826092,12.809574
1220,21.538038,5.853305,12.758080
1230,21.553873,5.806516,12.844098
1240,21.574219,5.845573,12.805858
1250,21.475696,5.778741,12.807584
1260,21.906248,5.994234,12.914897
1270,21.641122,5.828031,12.899077
1280,21.653030,5.776079,12.988911
1290,21.544080,5.706236,12.984727
1300,21.768918,5.822455,13.035235
1310,21.341416,5.572796,12.982221
1320,21.320792,5.611555,12.903460
1330,21.515064,5.734452,12.913385
1340,21.558790,5.753055,12.929207
1350,21.475185,5.702275,12.921772
1360,21.307347,5.639434,12.848195
1370,21.448704,5.739657,12.839219
1380,21.576102,5.835874,12.822291
1390,21.243572,5.631573,12.796212
1400,21.394263,5.709432,12.830115
1410,21.221627,5.598596,12.823733
1420,21.175943,5.543238,12.861086
1430,21.302956,5.642864,12.838660
1440,21.348703,5.734175,12.747441
1450,21.262237,5.644321,12.795755
1460,21.226420,5.649259,12.752532
1470,21.234655,5.628086,12.792525
1480,21.538527,5.880933,12.717127
1490,21.290017,5.698231,12.742670
1500,21.068111,5.614513,12.646341
1510,21.377945,5.767116,12.727271
1520,21.347060,5.751789,12.719377
1530,21.114918,5.609976,12.699955
1540,21.138773,5.639580,12.679404
1550,21.214861,5.621309,12.782897
1560,21.334841,5.762127,12.691650
1570,21.512094,5.869484,12.707869
1580,21.689398,5.913484,12.819172
1590,21.611341,5.846216,12.842018
1600,21.519148,5.791088,12.832516
1610,21.557504,5.794709,12.865440
1620,21.376365,5.734453,12.774686
1630,21.291902,5.691969,12.753949
1640,21.330012,5.680144,12.809795
1650,21.366304,5.731586,12.768925
1660,21.385538,5.759001,12.747037
1670,21.442351,5.804268,12.735949
1680,21.525001,5.837009,12.769487
1690,21.585435,5.907642,12.723971
1700,21.361838,5.750274,12.736426
1710,21.632607,5.810978,12.916140
1720,21.653392,5.895423,12.810258
1730,21.378421,5.695124,12.835735
1740,21.462982,5.796156,12.768748
1750,21.335275,5.689960,12.800335
1760,21.506211,5.786485,12.826484
1770,21.502473,5.880809,12.681260
1780,21.336319,5.742591,12.722433
1790,21.443182,5.829297,12.699236
1800,21.448096,5.845714,12.679526
1810,21.302178,5.766769,12.652025
1820,21.051190,5.594858,12.658902
1830,21.015197,5.490884,12.778871
1840,21.415330,5.816378,12.690763
1850,21.325687,5.740182,12.715414
1860,21.277738,5.697736,12.731134
1870,20.978696,5.575515,12.615424
1880,21.087307,5.624312,12.650839
1890,21.050124,5.612943,12.630708
1900,20.980207,5.549406,12.656098
1910,21.000522,5.588487,12.617791
