iter,overall,attack,distortion
0,18.227784,3.511988,12.959802
10,18.077006,3.427866,12.935206
20,19.553533,4.414419,12.931904
30,18.395572,3.569527,13.041281
40,18.137897,3.432016,12.989872
50,18.400277,3.662397,12.906681
60,18.970017,4.035855,12.916234
70,18.429779,3.676556,12.914945
80,18.792705,3.892292,12.954268
90,18.830423,3.800485,13.129694
100,18.842874,3.911988,12.974891
110,18.561162,3.656013,13.077143
120,18.989955,3.929973,13.094996
130,18.405379,3.627609,12.963966
140,18.584771,3.771636,12.927317
150,18.181846,3.473842,12.971083
160,18.274596,3.459955,13.084664
170,18.431453,3.646741,12.961341
180,18.334937,3.559454,12.995756
190,18.387095,3.607458,12.975907
200,18.040822,3.426646,12.900854
210,18.161095,3.508043,12.899029
220,18.147316,3.552403,12.818712
230,18.110613,3.580645,12.739646
240,18.181185,3.636594,12.726293
250,18.101872,3.633271,12.651965
260,18.239515,3.633308,12.789552
270,18.336895,3.705122,12.779213
280,18.379989,3.802475,12.676276
290,18.636790,3.968362,12.684247
300,18.283382,3.580307,12.912922
310,18.095325,3.507597,12.833930
320,17.897525,3.418649,12.769551
330,17.559748,3.211424,12.742612
340,17.957579,3.517031,12.682032
350,18.155675,3.620401,12.725073
360,17.873652,3.462797,12.679457
370,18.251646,3.646227,12.782306
380,18.200324,3.684167,12.674073
390,18.344077,3.723057,12.759492
400,18.469547,3.719808,12.889835
410,18.850224,4.029948,12.805302
420,18.109267,3.548296,12.786823
430,17.912329,3.405322,12.804346
440,17.958873,3.423298,12.823926
450,17.837373,3.307265,12.876475
460,18.034351,3.488007,12.802341
470,18.473842,3.847996,12.701848
480,18.096228,3.535858,12.792442
490,18.422283,3.667876,12.920469
500,18.490436,3.826367,12.750886
510,18.379555,3.679303,12.860601
520,17.971409,3.400316,12.870935
530,17.988383,3.466193,12.789094
540,18.407574,3.709575,12.843211
550,18.262662,3.581400,12.890561
560,18.040646,3.384494,12.963904
570,18.037998,3.360488,12.997266
580,18.096557,3.372769,13.037405
590,17.919717,3.207821,13.107986
600,18.179271,3.370791,13.123085
610,19.040174,3.960550,13.099349
620,18.171134,3.400580,13.070264
630,18.320792,3.523446,13.035622
640,18.150962,3.411788,13.033279
650,18.136117,3.433444,12.985951
660,18.468922,3.699256,12.920038
670,18.117956,3.473087,12.908327
680,17.994452,3.392657,12.905466
690,18.120934,3.432744,12.971817
700,18.167868,3.452120,12.989688
710,18.331518,3.596880,12.936198
720,18.078308,3.412457,12.959623
730,17.987928,3.333787,12.987247
740,17.917692,3.288755,12.984560
750,18.099778,3.458162,12.912536
760,17.929485,3.288566,12.996635
770,18.278213,3.565499,12.929965
780,18.108589,3.423587,12.973209
790,17.940060,3.321504,12.957804
800,17.817640,3.180708,13.046578
810,18.521572,3.677249,13.005699
820,17.957737,3.301217,13.005911
830,17.839050,3.281623,12.916615
840,17.658721,3.199564,12.859374
850,17.628544,3.211085,12.811916
860,17.580824,3.228652,12.737847
870,17.879557,3.425550,12.741233
880,17.593948,3.261883,12.701124
890,17.825823,3.383537,12.750518
900,17.664279,3.223172,12.829521
910,18.162543,3.608654,12.749562
920,17.676069,3.246903,12.805715
930,17.680202,3.335140,12.677493
940,17.623851,3.255030,12.741306
950,18.386820,3.670030,12.881776
960,17.931439,3.477805,12.714732
970,17.752133,3.322868,12.767830
980,18.263564,3.686371,12.734008
990,17.974467,3.503480,12.719246
1000,17.856120,3.426375,12.716557
1010,17.931523,3.493675,12.691010
1020,19.259299,4.133473,13.059090
1030,18.217975,3.487054,12.987393
1040,18.381986,3.627682,12.940463
1050,17.974799,3.459118,12.786121
1060,17.937562,3.449482,12.763338
1070,17.911302,3.455873,12.727493
1080,17.772772,3.393595,12.682380
1090,18.003247,3.533590,12.702862
1100,18.135197,3.652370,12.656642
1110,17.792410,3.438720,12.634330
1120,18.333626,3.790680,12.647607
1130,17.863227,3.535693,12.559688
1140,17.695982,3.412626,12.577043
1150,17.953250,3.644102,12.487097
1160,17.779294,3.555345,12.446276
1170,18.190412,3.885905,12.361554
1180,17.792504,3.583610,12.417089
1190,18.032498,3.752069,12.404395
1200,17.995560,3.717536,12.419256
1210,18.322766,3.938373,12.415205
1220,18.597203,4.011630,12.579758
1230,19.178197,4.426868,12.537895
1240,18.220850,3.750931,12.594453
1250,17.925469,3.494347,12.683948
1260,17.805734,3.481578,12.583368
1270,17.911679,3.563383,12.566605
1280,17.469302,3.262188,12.576020
1290,17.651208,3.349084,12.627582
1300,17.657094,3.389862,12.572301
1310,17.754683,3.441172,12.592924
1320,17.902172,3.526182,12.612899
1330,17.567189,3.333538,12.566881
1340,17.774427,3.429565,12.630079
1350,17.626168,3.321520,12.643889
1360,17.598075,3.349780,12.573405
1370,17.838383,3.481548,12.616061
1380,17.876419,3.476197,12.662123
1390,18.040184,3.499602,12.790781
1400,18.303158,3.797162,12.607415
1410,18.115316,3.643348,12.650294
1420,17.887758,3.457368,12.701706
1430,17.707285,3.417549,12.580961
1440,17.855576,3.551314,12.528605
1450,17.898722,3.551878,12.570904
1460,17.754121,3.397001,12.658620
1470,17.973228,3.611705,12.555670
1480,18.088572,3.667791,12.586885
1490,17.798996,3.423734,12.663396
1500,17.959013,3.470800,12.752813
1510,18.060688,3.521333,12.778689
1520,17.972087,3.510777,12.705921
1530,17.890819,3.504497,12.634073
1540,17.792484,3.359965,12.752537
1550,18.176954,3.634762,12.724810
1560,18.092054,3.556218,12.757727
1570,18.186602,3.472754,12.977471
1580,18.418570,3.680179,12.898302
1590,17.983923,3.379193,12.915133
1600,17.887866,3.393778,12.797200
1610,17.988303,3.457448,12.802132
1620,17.752839,3.318643,12.774874
1630,17.842900,3.357273,12.806991
1640,17.705929,3.250889,12.829595
1650,17.977465,3.423065,12.842867
1660,17.649167,3.185081,12.871545
1670,17.634328,3.117402,12.958225
1680,17.887869,3.229338,13.043862
1690,17.851535,3.277349,12.935511
1700,17.850843,3.284129,12.924649
1710,17.937243,3.328532,12.944446
1720,17.889057,3.294806,12.946848
1730,17.847411,3.253221,12.967579
1740,17.967435,3.393053,12.877856
1750,17.683783,3.221372,12.851725
1760,17.834098,3.250218,12.958770
1770,17.801760,3.264345,12.905242
1780,17.830408,3.317890,12.853573
1790,17.795334,3.233827,12.944594
1800,17.647712,3.232429,12.799069
1810,17.619319,3.228618,12.776392
1820,17.947386,3.398099,12.850237
1830,17.839684,3.335098,12.837037
1840,18.131324,3.525161,12.843582
1850,17.538629,3.179488,12.769396
1860,17.911824,3.418962,12.783381
1870,17.651187,3.286291,12.721750
1880,17.749562,3.351315,12.722590
1890,17.683551,3.324790,12.696366
1900,17.695198,3.298246,12.747828
1910,18.144142,3.546061,12.825051
1920,17.913984,3.352959,12.884546
1930,18.212698,3.606948,12.802276
1940,18.035688,3.259631,13.146242
1950,18.755437,3.902718,12.901360
1960,18.110077,3.421770,12.977421
1970,17.927662,3.266829,13.027419
1980,17.961630,3.320274,12.981219
1990,18.137953,3.430547,12.992133
2000,18.077468,3.453333,12.897468
2010,18.009762,3.441695,12.847219
2020,17.825720,3.311152,12.858991
2030,17.655880,3.187557,12.874544
2040,17.871749,3.327640,12.880289
2050,17.973907,3.356950,12.938482
2060,17.654656,3.161776,12.911992
2070,17.882554,3.273063,12.972959
2080,17.718108,3.193609,12.927695
2090,18.027079,3.415024,12.904544
2100,17.600791,3.087838,12.969033
2110,17.665639,3.181804,12.892933
2120,17.480627,3.044802,12.913424
2130,17.492223,3.065887,12.893393
2140,17.663447,3.212574,12.844586
2150,17.614950,3.236550,12.760125
2160,17.690514,3.185183,12.912739
2170,17.688039,3.114544,13.016223
2180,17.450421,3.043721,12.884840
2190,17.448004,3.089657,12.813519
2200,17.620889,3.137151,12.915163
2210,17.799599,3.300316,12.849124
2220,17.714592,3.270545,12.808775
2230,17.629701,3.160944,12.888286
2240,17.921887,3.359908,12.882025
2250,17.742097,3.281425,12.819960
2260,17.613564,3.102046,12.960495
2270,17.745467,3.158854,13.007186
2280,17.632870,3.074706,13.020810
2290,18.191590,3.468234,12.989239
2300,17.806280,3.198837,13.008024
2310,17.833497,3.140147,13.123276
2320,17.500154,2.917469,13.123950
2330,17.804742,3.095482,13.161518
2340,17.907159,3.194731,13.115063
2350,17.500091,2.971973,13.042132
2360,17.617000,3.047328,13.046007
2370,17.376463,2.901311,13.024497
2380,17.195203,2.824285,12.958775
2390,17.378798,2.927240,12.987937
2400,17.467075,2.898259,13.119686
2410,17.355191,2.834979,13.102723
2420,17.680927,3.024337,13.144421
2430,17.604932,3.009359,13.090894
2440,17.537764,2.907688,13.176233
2450,17.332699,2.812929,13.113306
2460,17.346709,2.861122,13.055026
2470,17.218341,2.823826,12.982601
2480,17.288635,2.894211,12.947318
2490,17.133988,2.856961,12.848547
2500,17.165738,2.805816,12.957014
2510,17.269793,2.835830,13.016048
2520,17.354043,2.945373,12.935983
2530,17.314701,2.928809,12.921487
2540,17.524481,3.044332,12.957984
2550,17.273625,2.861403,12.981520
2560,17.268994,2.795162,13.076251
2570,17.238615,2.801230,13.036770
2580,17.122795,2.767117,12.972119
2590,17.295715,2.875519,12.982437
2600,17.226137,2.787037,13.045582
2610,17.234163,2.842557,12.970329
2620,17.407761,3.004576,12.900897
2630,17.075180,2.805012,12.867662
2640,17.112984,2.861201,12.821183
2650,16.939633,2.732650,12.840658
2660,17.227085,2.956880,12.791765
2670,17.913767,3.360105,12.873610
2680,17.374771,2.966173,12.925511
2690,17.121817,2.900718,12.770740
2700,17.479686,3.100800,12.828486
2710,17.123011,2.983854,12.647230
2720,16.970445,2.832173,12.722186
2730,17.292080,3.091680,12.654560
2740,17.196903,3.000177,12.696637
2750,17.035965,2.889602,12.701561
2760,17.716644,3.355215,12.683822
2770,17.545476,3.220314,12.715005
2780,17.438463,3.066862,12.838170
2790,17.989626,3.482845,12.765359
2800,17.485162,3.090493,12.849422
2810,17.232244,2.929502,12.837991
2820,17.554918,3.139480,12.845699
2830,17.157697,2.891325,12.820709
2840,17.388910,2.913267,13.019009
2850,18.125020,3.418095,12.997878
2860,17.886388,3.202534,13.082587
2870,18.380612,3.453808,13.199900
2880,17.672906,3.046684,13.102880
2890,17.459565,2.883159,13.134826
2900,17.361289,2.855550,13.077964
2910,17.294621,2.767009,13.144107
2920,17.619646,3.015086,13.097017
2930,17.840204,3.133587,13.139824
2940,17.256247,2.803196,13.051453
2950,17.329266,2.788318,13.146790
2960,17.279072,2.819433,13.049922
2970,17.499468,2.976531,13.034671
2980,18.001770,3.160580,13.260900
2990,17.483885,2.834229,13.232542
3000,17.606039,2.905979,13.247071
3010,17.422801,2.794195,13.231508
3020,17.354671,2.766667,13.204670
3030,18.006075,3.223732,13.170477
3040,17.570789,2.829684,13.326262
3050,17.554595,2.773175,13.394832
3060,17.364347,2.735455,13.261164
3070,17.357022,2.739237,13.248166
3080,17.844406,3.003754,13.338776
3090,17.818209,2.981450,13.346035
3100,17.634978,2.848741,13.361867
3110,17.751977,2.989971,13.267021
3120,17.637999,2.902499,13.284250
3130,17.608007,2.904065,13.251909
3140,17.473479,2.710072,13.408371
3150,17.360361,2.710004,13.295354
3160,17.452400,2.754279,13.320981
3170,17.575569,2.874599,13.263671
3180,17.361019,2.687341,13.330007
3190,17.505954,2.817994,13.278963
3200,17.501585,2.657861,13.514793
3210,17.636296,2.757305,13.500339
3220,17.465339,2.720746,13.384220
3230,17.436215,2.702688,13.382183
3240,17.309075,2.592411,13.420459
3250,17.689011,2.788182,13.506739
3260,17.353732,2.676614,13.338811
3270,17.473199,2.732947,13.373778
3280,17.341077,2.655570,13.357722
3290,17.503983,2.788697,13.320939
3300,17.360460,2.712582,13.291586
3310,17.112387,2.590366,13.226838
3320,17.421679,2.847667,13.150179
3330,17.168382,2.700101,13.118230
3340,17.130640,2.597938,13.233733
3350,17.496489,2.849832,13.221741
3360,17.400126,2.728219,13.307797
3370,17.772271,2.971887,13.314440
3380,17.487023,2.793232,13.297175
3390,17.574882,2.838359,13.317344
3400,17.219953,2.692624,13.181018
3410,17.322186,2.736376,13.217623
3420,17.183041,2.663326,13.188052
3430,17.705068,3.030377,13.159504
3440,17.144387,2.622903,13.210033
3450,17.377561,2.892421,13.038929
3460,17.696088,3.043067,13.131487
3470,17.499923,2.942811,13.085706
3480,17.661716,2.955697,13.228170
