iter,overall,attack,distortion
0,27.436465,11.462153,10.243236
10,25.979769,10.461448,10.287597
20,26.629198,10.821083,10.397573
30,27.067858,11.168250,10.315483
40,26.513919,10.815695,10.290377
50,26.115056,10.494767,10.372906
60,25.552150,10.062347,10.458630
70,25.533945,10.033408,10.483833
80,25.342867,9.899174,10.494106
90,25.828144,10.266936,10.427740
100,25.020445,9.660303,10.529991
110,25.232197,9.890253,10.396818
120,25.023076,9.719974,10.443115
130,24.692526,9.519371,10.413471
140,24.037170,9.019720,10.507590
150,24.216123,9.102332,10.562625
160,24.782274,9.440693,10.621234
170,24.391736,9.175060,10.629146
180,23.464772,8.495582,10.721399
190,23.721750,8.646677,10.751734
200,23.649535,8.694460,10.607845
210,23.805350,8.730099,10.710201
220,23.321741,8.434771,10.669585
230,23.382574,8.415358,10.759537
240,23.229615,8.298853,10.781336
250,23.440708,8.425151,10.802981
260,23.484908,8.432770,10.835753
270,23.162219,8.234704,10.810162
280,22.656937,7.781826,10.984198
290,22.895056,7.916774,11.019895
300,22.358964,7.552192,11.030676
310,22.626214,7.773583,10.965839
320,22.310597,7.554717,10.978521
330,22.731905,7.899766,10.882255
340,22.368497,7.629071,10.924891
350,22.260795,7.579044,10.892228
360,22.433063,7.693987,10.892083
370,22.253978,7.594864,10.861682
380,22.238518,7.553564,10.908171
390,22.249450,7.573184,10.889675
400,22.406784,7.585931,11.027888
410,22.108253,7.432800,10.959052
420,21.988136,7.297010,11.042620
430,21.737162,7.169323,10.983179
440,21.943355,7.311589,10.975972
450,21.804101,7.255322,10.921118
460,21.840612,7.294206,10.899302
470,21.644492,7.165198,10.896695
480,21.739319,7.217447,10.913149
490,21.779463,7.240302,10.919010
500,21.655526,7.160057,10.915440
510,21.658602,7.189651,10.874126
520,21.593172,7.151660,10.865682
530,21.602903,7.133748,10.902281
540,21.507657,7.068975,10.904194
550,21.431606,7.007626,10.920167
560,21.275160,6.953044,10.845594
570,21.347797,6.931832,10.950049
580,21.239930,6.896280,10.895510
590,20.938135,6.713565,10.867789
600,21.337634,6.945732,10.919035
610,20.770395,6.521202,10.988593
620,20.949149,6.690279,10.913730
630,20.999709,6.737805,10.893002
640,20.895073,6.698811,10.846857
650,20.744103,6.585821,10.865372
660,20.905922,6.657724,10.919336
670,20.626435,6.454615,10.944512
680,20.777717,6.567712,10.926149
690,20.595377,6.477556,10.879043
700,20.471442,6.470422,10.765809
710,20.611745,6.506652,10.851767
720,20.680992,6.546385,10.861415
730,20.599220,6.485815,10.870498
740,20.397331,6.395930,10.803436
750,20.578925,6.477413,10.862806
760,20.428228,6.412509,10.809465
770,20.494447,6.453837,10.813692
780,20.297128,6.342119,10.783950
790,20.225852,6.320752,10.744724
800,20.394207,6.433640,10.743748
810,20.259160,6.336397,10.754564
820,20.183325,6.306326,10.723835
830,20.181996,6.263640,10.786536
840,20.358096,6.389339,10.774087
850,20.069186,6.195308,10.776224
860,20.102973,6.228410,10.760358
870,20.110624,6.265142,10.712910
880,20.121505,6.222192,10.788217
890,20.148123,6.268233,10.745774
900,20.206959,6.286241,10.777598
910,20.093537,6.214817,10.771312
920,19.738076,5.960233,10.797727
930,20.180033,6.351499,10.652785
940,20.096358,6.310556,10.630525
950,20.053953,6.305987,10.594973
960,20.020635,6.266591,10.620748
970,19.725263,6.081826,10.602524
980,19.897668,6.191599,10.610270
990,19.845067,6.200753,10.543938
1000,20.016742,6.306450,10.557068
1010,19.822619,6.139403,10.613514
1020,19.823307,6.166369,10.573753
1030,19.913279,6.211976,10.595316
1040,19.908972,6.204411,10.602355
1050,19.838333,6.153066,10.608734
1060,19.759329,6.113089,10.589696
1070,19.852240,6.106194,10.692949
1080,19.805936,6.085310,10.677972
1090,19.972138,6.105742,10.813525
1100,19.885848,6.099216,10.737024
1110,19.833910,6.031349,10.786886
1120,20.061463,6.258455,10.673781
1130,19.976121,6.222433,10.642472
1140,19.762450,6.035904,10.708594
1150,19.800164,6.044514,10.733392
1160,19.827566,6.059769,10.737913
1170,19.857596,6.086451,10.727919
1180,19.842430,6.056961,10.756989
1190,19.864211,6.104306,10.707752
1200,19.732042,6.043891,10.666205
1210,19.659210,6.069616,10.554786
1220,19.689982,6.088856,10.556697
1230,19.726160,6.115773,10.552501
1240,19.755585,6.108826,10.592346
1250,20.049786,6.317905,10.572928
1260,19.469613,5.960254,10.529232
1270,19.811578,6.120952,10.630149
1280,19.612080,5.911560,10.744740
1290,19.765690,6.033102,10.716036
1300,19.588536,5.931156,10.691802
1310,19.346219,5.798657,10.648233
1320,19.497592,5.883297,10.672647
1330,19.656422,5.966859,10.706134
1340,19.429748,5.831774,10.682087
1350,19.460183,5.860071,10.670077
1360,19.577440,5.965254,10.629560
1370,19.552584,5.969774,10.597923
1380,19.454990,5.906943,10.594575
1390,19.401699,5.875992,10.587711
1400,19.300421,5.809705,10.585863
1410,19.534555,5.987098,10.553907
1420,19.404393,5.921123,10.522707
1430,19.286658,5.829545,10.542341
1440,19.554587,6.026114,10.515416
1450,19.436150,5.905675,10.577637
1460,19.697188,6.019744,10.667572
1470,19.422414,5.883885,10.596587
1480,19.510680,5.977647,10.544208
1490,19.199999,5.747316,10.579025
1500,19.458109,5.905666,10.599610
1510,19.080408,5.649005,10.606901
1520,18.934807,5.562119,10.591629
1530,19.151706,5.718287,10.574275
1540,19.070352,5.622474,10.636642
1550,19.134500,5.705842,10.575736
