iter,overall,attack,distortion
0,25.261773,11.224255,8.425390
10,24.916785,10.969795,8.462091
20,25.173252,11.017131,8.647556
30,25.260757,11.134439,8.559099
40,24.724237,10.705378,8.666170
50,23.188726,9.465568,8.990375
60,22.230855,8.807994,9.018864
70,22.397032,8.876720,9.081953
80,22.363667,8.841077,9.102051
90,20.853099,7.669198,9.349302
100,20.412139,7.400816,9.310916
110,20.200106,7.240430,9.339461
120,20.360701,7.238827,9.502461
130,20.834666,7.566794,9.484475
140,19.819517,6.832981,9.570046
150,20.591567,7.385477,9.513351
160,19.677404,6.699465,9.628207
170,19.591172,6.669085,9.587545
180,19.153722,6.220119,9.823543
190,18.423865,5.688898,9.890518
200,18.677472,5.871954,9.869542
210,18.434844,5.597751,10.038217
220,17.406464,4.859624,10.117028
230,17.884657,5.146804,10.164451
240,17.725328,5.074149,10.114104
250,17.559057,4.958320,10.121577
260,17.416590,4.848820,10.143360
270,17.079237,4.521853,10.296458
280,16.895984,4.455532,10.212687
290,17.154348,4.553538,10.324041
300,16.901952,4.355747,10.368332
310,16.499778,4.070963,10.393335
320,16.940876,4.393099,10.351227
330,16.898880,4.359645,10.359413
340,16.251154,3.909541,10.386843
350,16.245690,3.930575,10.349828
360,16.264716,3.991905,10.276858
370,15.717677,3.546238,10.398320
380,15.872443,3.640534,10.411643
390,15.893260,3.680587,10.372380
400,15.908010,3.611311,10.491045
410,15.916847,3.637255,10.460964
420,15.362967,3.239267,10.504067
430,15.792430,3.620028,10.362388
440,15.478407,3.357653,10.441927
450,15.587743,3.415240,10.464882
460,15.711202,3.541514,10.398931
470,15.546946,3.523611,10.261529
480,15.339445,3.360452,10.298767
490,15.549370,3.595820,10.155640
500,15.361818,3.474273,10.150408
510,15.560762,3.613081,10.141141
520,15.637212,3.630615,10.191290
530,15.327899,3.429207,10.184089
540,15.803123,3.701732,10.250524
550,15.225785,3.200909,10.424422
560,15.458868,3.398277,10.361453
570,15.426501,3.399425,10.327364
580,15.248978,3.272605,10.340069
590,14.957469,2.995310,10.464504
600,15.466616,3.404191,10.360330
610,14.932813,3.110347,10.267293
620,14.662632,2.837176,10.406868
630,14.961295,3.066353,10.361765
640,14.680226,2.888688,10.347194
650,15.280597,3.241305,10.418640
660,14.647777,2.808127,10.435585
670,14.418282,2.607307,10.507321
680,14.486955,2.700782,10.435782
690,14.960965,3.025190,10.423180
700,14.289069,2.577344,10.423053
710,14.000482,2.392220,10.412151
720,14.280034,2.566134,10.430832
730,13.834812,2.235415,10.481690
740,14.041120,2.419117,10.412444
750,14.084207,2.474279,10.372788
760,13.955106,2.429948,10.310185
770,14.173475,2.560263,10.333081
780,13.995706,2.444247,10.329335
790,14.188765,2.542351,10.375239
800,13.892598,2.391254,10.305716
810,13.919453,2.394077,10.328338
820,13.763657,2.319846,10.283888
830,14.045771,2.500718,10.294693
840,13.862562,2.403102,10.257909
850,13.815705,2.353755,10.285073
860,13.773587,2.333972,10.272629
870,13.710261,2.284016,10.284236
880,13.582758,2.157824,10.346022
890,13.672801,2.213597,10.352405
900,13.946340,2.365169,10.398586
910,13.717681,2.193542,10.427368
920,13.707987,2.293898,10.267141
930,13.749765,2.257092,10.364126
940,13.709564,2.242503,10.345810
950,13.779348,2.290436,10.343693
960,13.582617,2.171450,10.325441
970,13.589921,2.162348,10.346398
980,13.730515,2.241701,10.367964
990,13.754087,2.258293,10.366647
1000,13.628094,2.152751,10.398968
1010,13.700467,2.242889,10.336134
1020,13.545854,2.134611,10.343937
