iter,overall,attack,distortion
0,37.862937,15.138578,15.155069
10,36.866017,14.439795,15.206325
20,36.390411,14.181120,15.118732
30,36.110327,13.793487,15.420096
40,36.719092,14.202946,15.414673
50,36.781304,14.228067,15.439203
60,36.027834,13.668854,15.524553
70,35.849825,13.612754,15.430693
80,34.769860,12.753245,15.639993
90,35.495536,13.329627,15.501096
100,35.358635,13.207343,15.547619
110,35.113750,12.941541,15.701438
120,34.006479,12.155272,15.773572
130,33.945779,12.086743,15.815663
140,33.117954,11.485384,15.889878
150,33.869854,11.892411,16.031238
160,34.051947,11.899544,16.202631
170,33.462633,11.461386,16.270554
180,33.144911,11.312673,16.175901
190,32.578775,10.881259,16.256886
200,32.857749,11.068196,16.255455
210,32.800004,10.972651,16.341027
220,32.180876,10.541697,16.368329
230,31.828004,10.319220,16.349174
240,31.486583,10.028066,16.444484
250,31.527889,10.035925,16.474001
260,31.061237,9.660147,16.571016
270,31.611570,10.126025,16.422532
280,31.024551,9.683914,16.498679
290,31.616409,10.074548,16.504586
300,31.632785,10.114271,16.461378
310,31.227820,9.836872,16.472511
320,31.338497,9.911528,16.471205
330,30.885850,9.631978,16.437882
340,30.489364,9.267390,16.588279
350,30.801897,9.482761,16.577754
360,29.488923,8.660653,16.497943
370,30.352194,9.191464,16.564997
380,30.233460,9.096690,16.588425
390,30.426919,9.152432,16.698271
400,29.642375,8.693306,16.602416
410,29.720350,8.746747,16.600229
420,29.347235,8.547947,16.525314
430,29.593772,8.630595,16.647879
440,29.952239,8.893145,16.612522
450,29.252418,8.433072,16.602810
460,29.402771,8.512274,16.634360
470,29.232001,8.383034,16.657450
480,29.201569,8.364885,16.654241
490,29.194614,8.366992,16.644126
500,29.118600,8.312142,16.650387
510,28.848191,8.189897,16.563346
520,28.713845,8.012280,16.695425
530,28.667674,8.016579,16.642806
540,29.022431,8.245182,16.654657
550,28.699264,8.014315,16.677792
560,29.175547,8.319592,16.696159
570,28.713024,8.072033,16.604975
580,28.959139,8.160884,16.717812
590,28.501677,7.975838,16.537919
600,28.345533,7.879757,16.525897
610,28.357320,7.832849,16.608047
620,28.164004,7.809574,16.449642
630,28.092777,7.749024,16.469240
640,28.440668,7.986935,16.460265
650,28.183656,7.742730,16.569561
660,27.964241,7.726947,16.373819
670,28.094428,7.787956,16.412494
680,27.948464,7.677910,16.431600
690,27.959656,7.667412,16.458538
700,27.809086,7.534748,16.506965
710,27.648212,7.510391,16.382624
720,27.393514,7.355817,16.359789
730,27.395133,7.359918,16.355255
740,27.614449,7.514748,16.342326
750,27.586336,7.508162,16.324093
760,27.365453,7.377492,16.299215
770,27.349931,7.343049,16.335357
780,27.589512,7.435754,16.435881
790,27.241816,7.258536,16.354012
800,27.448119,7.406330,16.338624
810,26.951271,6.971133,16.494572
820,26.892857,6.952969,16.463403
830,26.955711,6.953191,16.525923
840,27.262045,7.236648,16.407073
850,26.925986,7.007496,16.414741
860,26.819277,6.907321,16.458296
870,27.642875,7.471067,16.436274
880,27.043870,7.196599,16.248971
890,26.752833,6.992992,16.263344
900,26.556284,6.843114,16.291613
910,26.546607,6.806521,16.336825
920,27.024467,7.104391,16.367880
930,26.905623,7.073706,16.295065
940,26.615951,6.899450,16.266775
950,26.453673,6.770309,16.298209
960,26.748707,7.003575,16.243345
970,26.630353,6.919630,16.250908
980,26.389251,6.737165,16.283505
990,26.602540,6.925370,16.214485
1000,26.581566,6.903386,16.226486
1010,26.473499,6.727654,16.382018
1020,26.738805,6.898137,16.391599
1030,26.593136,6.847362,16.322092
1040,26.664591,6.935089,16.261957
1050,26.897754,7.078518,16.279977
1060,26.904908,7.053759,16.324271
1070,26.281846,6.620703,16.350791
1080,26.654863,6.861030,16.363318
1090,26.731956,6.877423,16.415822
1100,27.145283,7.074638,16.533327
1110,26.536671,6.720698,16.455625
1120,26.401955,6.624320,16.465475
1130,26.019982,6.420036,16.389928
1140,26.229476,6.496504,16.484720
1150,26.341652,6.578057,16.474567
1160,26.513013,6.708724,16.449927
1170,26.467935,6.646302,16.498482
1180,26.518707,6.709450,16.454532
1190,26.305456,6.594139,16.414248
1200,26.687344,6.843134,16.422642
1210,26.216826,6.482994,16.492335
1220,26.396468,6.695473,16.353259
1230,26.126445,6.444470,16.459740
1240,26.121728,6.458294,16.434287
1250,26.220628,6.554208,16.389315
1260,26.400384,6.649499,16.426135
1270,26.596550,6.759449,16.457376
1280,26.007452,6.351634,16.480000
1290,26.311259,6.588499,16.428510
1300,26.671469,6.801381,16.469396
1310,26.367390,6.638101,16.410239
1320,26.001952,6.384771,16.424795
1330,26.294647,6.592392,16.406060
1340,26.355928,6.552086,16.527799
1350,25.962163,6.327561,16.470821
1360,26.092647,6.422751,16.458520
1370,26.505987,6.756976,16.370523
1380,26.525981,6.834225,16.274644
1390,26.177787,6.577842,16.311024
1400,25.630335,6.240746,16.269216
1410,25.911408,6.384238,16.335050
1420,26.018770,6.482126,16.295581
1430,25.853705,6.364085,16.307577
1440,25.650325,6.218451,16.322649
1450,25.913867,6.412302,16.295413
1460,26.021649,6.492479,16.282930
1470,25.943333,6.481972,16.220375
1480,25.828922,6.375466,16.265723
