iter,overall,attack,distortion
0,14.520103,1.375555,12.456769
10,14.728833,1.503144,12.474117
20,14.594853,1.405768,12.486200
30,14.583063,1.403101,12.478411
40,14.744941,1.572390,12.386355
50,14.448761,1.321734,12.466160
60,14.948069,1.537745,12.641451
70,14.908637,1.533762,12.607994
80,14.724099,1.426484,12.584373
90,14.774562,1.475303,12.561607
100,14.852608,1.495676,12.609093
110,14.486887,1.262424,12.593252
120,14.755572,1.434983,12.603099
130,14.574838,1.334754,12.572708
140,14.691094,1.415671,12.567588
150,14.997060,1.497928,12.750167
160,14.415164,1.170591,12.659278
170,14.577432,1.314530,12.605638
180,14.606175,1.282658,12.682188
190,14.797945,1.396229,12.703602
200,14.857376,1.490015,12.622354
210,14.596104,1.317050,12.620529
220,14.865304,1.392251,12.776927
230,14.456140,1.184742,12.679028
240,14.592975,1.238911,12.734609
250,14.783729,1.360801,12.742528
260,14.762713,1.396538,12.667907
270,14.359954,1.100438,12.709298
280,14.801645,1.266280,12.902225
290,14.436252,1.180196,12.665958
300,14.766103,1.411640,12.648643
310,14.294164,1.070873,12.687855
320,14.338185,1.125133,12.650486
330,14.466944,1.238047,12.609874
340,14.213557,1.101302,12.561604
350,14.336644,1.197992,12.539656
360,14.365562,1.167325,12.614575
370,14.451353,1.204502,12.644600
380,14.325496,1.138327,12.618005
390,14.445175,1.243741,12.579563
400,14.297435,1.132518,12.598658
410,14.291209,1.063988,12.695227
420,14.416791,1.216291,12.592354
430,14.698020,1.357916,12.661147
440,14.128743,0.966550,12.678918
450,14.391120,1.176511,12.626354
460,14.749082,1.432951,12.599655
470,14.645466,1.335957,12.641531
480,14.220641,1.086542,12.590829
490,14.364462,1.214071,12.543356
500,14.361824,1.213529,12.541529
510,14.455704,1.186395,12.676112
520,14.513101,1.224704,12.676045
530,14.405016,1.132919,12.705638
540,14.394087,1.092125,12.755900
550,14.374270,1.149759,12.649632
560,14.456752,1.211048,12.640180
570,14.437954,1.220686,12.606925
580,14.471677,1.266947,12.571257
590,14.542417,1.322004,12.559411
600,14.291960,1.189616,12.507536
610,14.631508,1.343469,12.616305
620,14.253162,1.105339,12.595154
630,14.122308,1.038802,12.564106
640,14.247095,1.110186,12.581816
650,14.327200,1.165717,12.578624
660,14.416313,1.280109,12.496149
670,14.028926,1.019246,12.500058
680,14.187088,1.116607,12.512177
690,14.282147,1.217225,12.456310
700,14.028340,1.032300,12.479890
710,14.032682,1.047627,12.461241
720,14.227909,1.192133,12.439709
730,13.994407,1.075553,12.381078
740,13.986944,1.053667,12.406444
750,13.978190,1.051493,12.400950
760,13.967741,1.045466,12.399542
770,13.968348,1.006485,12.458621
780,13.947288,1.015459,12.424099
790,13.874805,0.937488,12.468574
800,14.175217,1.184281,12.398796
810,14.023448,1.074592,12.411560
820,14.055377,1.117148,12.379654
830,14.025968,1.092364,12.387422
840,14.400516,1.367453,12.349336
850,14.110644,1.122732,12.426547
860,14.226461,1.229876,12.381647
870,14.349302,1.298464,12.401606
880,14.310584,1.200534,12.509783
890,14.333566,1.213431,12.513420
900,14.096020,1.023565,12.560672
910,14.392198,1.232994,12.542706
920,14.152821,1.078933,12.534422
930,14.131649,0.981294,12.659708
940,14.351394,1.204431,12.544747
950,14.219405,1.163097,12.474760
960,14.258869,1.109176,12.595105
970,14.385841,1.266435,12.486189
980,14.165044,1.076836,12.549790
990,14.247689,1.105015,12.590167
1000,14.231269,1.083835,12.605516
1010,14.210972,1.115830,12.537227
1020,14.235967,1.094722,12.593884
1030,14.290037,1.154038,12.558980
1040,14.242461,1.151937,12.514556
1050,14.283077,1.182033,12.510027
1060,14.248275,1.103448,12.593103
1070,14.102248,1.007071,12.591641
1080,14.223400,1.068903,12.620046
1090,14.007383,0.899155,12.658651
1100,14.133043,0.998228,12.635701
1110,14.002838,0.941237,12.590982
1120,14.031268,0.978546,12.563448
1130,13.910371,0.905881,12.551549
1140,13.812630,0.842802,12.548426
1150,13.887489,0.896331,12.542992
1160,13.889565,0.927544,12.498248
1170,14.125909,1.124849,12.438635
1180,13.909829,0.999257,12.410944
1190,14.018304,1.053567,12.437953
1200,13.826704,0.959760,12.387063
1210,13.863400,1.020794,12.332209
1220,13.884058,1.088816,12.250834
1230,13.872866,1.082658,12.248879
1240,13.876695,1.045400,12.308595
1250,13.857182,1.002135,12.353980
1260,13.885215,0.996810,12.390000
1270,13.768199,0.938346,12.360680
1280,13.834429,1.011610,12.317013
1290,13.863410,1.035290,12.310476
1300,14.136758,1.136809,12.431543
1310,14.206397,1.206466,12.396698
1320,14.069783,1.068138,12.467576
1330,13.932014,0.960293,12.491575
1340,13.940120,0.978022,12.473087
1350,14.193710,1.156259,12.459321
1360,14.241572,1.173712,12.481004
1370,14.438268,1.332621,12.439336
1380,14.003666,1.046632,12.433718
1390,14.260510,1.245499,12.392261
1400,14.166022,1.146225,12.446684
1410,14.465730,1.381223,12.393896
1420,14.573706,1.404031,12.467659
1430,14.254795,1.202282,12.451373
1440,13.975793,1.036290,12.421358
1450,13.895376,0.962730,12.451281
1460,13.969185,1.052822,12.389953
1470,14.773058,1.548492,12.450320
1480,14.171110,1.161293,12.429170
1490,13.965154,0.977900,12.498304
1500,13.934918,0.977381,12.468847
1510,13.891034,0.947878,12.469217
1520,14.013173,1.053798,12.432476
1530,13.850162,0.950735,12.424060
1540,14.043678,1.080423,12.423044
1550,13.973890,1.061790,12.381205
1560,13.901301,0.994996,12.408807
1570,14.087887,1.112360,12.419348
1580,13.930719,1.026620,12.390788
1590,14.077006,1.140081,12.366884
1600,14.077070,1.165486,12.328841
1610,13.957391,1.063104,12.362735
1620,13.777274,0.986030,12.298230
1630,14.342447,1.299935,12.392545
1640,13.980022,1.100317,12.329546
1650,13.841307,0.964769,12.394154
1660,13.893751,0.966777,12.443586
1670,13.853813,0.966071,12.404706
1680,13.922803,1.045832,12.354055
1690,13.817830,1.000719,12.316752
1700,13.743854,0.941757,12.331218
1710,13.762208,0.888911,12.428841
1720,13.735586,0.890931,12.399190
1730,13.656201,0.884636,12.329246
1740,13.784345,1.009420,12.270215
1750,13.774120,1.004574,12.267259
1760,13.681830,0.925050,12.294254
1770,14.031791,1.090290,12.396357
1780,14.091502,1.109764,12.426856
1790,14.058375,1.113733,12.387776
1800,14.246846,1.267567,12.345495
1810,14.574925,1.440885,12.413597
1820,14.233334,1.198264,12.435938
1830,14.322237,1.223283,12.487313
1840,13.981033,1.010080,12.465913
1850,14.277548,1.204498,12.470801
1860,13.866037,0.907021,12.505505
1870,14.216376,1.106868,12.556074
1880,14.048127,1.030254,12.502746
1890,14.267969,1.203164,12.463223
1900,13.959057,1.017818,12.432330
1910,14.064841,0.979368,12.595788
1920,13.949123,0.967016,12.498599
1930,14.200543,1.109546,12.536224
1940,14.239619,1.060790,12.648434
1950,14.154105,1.065334,12.556103
1960,14.238125,1.143555,12.522792
1970,13.972742,0.992369,12.484189
1980,14.044377,1.028423,12.501743
1990,14.030312,0.981950,12.557387
2000,14.553564,1.295040,12.611004
2010,13.988645,0.897480,12.642425
2020,14.038377,0.980677,12.567361
2030,13.819636,0.805016,12.612112
2040,13.934509,0.869202,12.630706
2050,14.010043,0.990394,12.524452
2060,14.164871,1.061268,12.572969
2070,13.818265,0.872419,12.509636
2080,14.055114,1.031303,12.508160
2090,13.836424,0.899121,12.487743
2100,13.894828,0.955045,12.462260
2110,13.876469,0.915448,12.503297
2120,13.848993,0.963766,12.403344
2130,13.910860,0.964653,12.463880
2140,13.925860,0.971261,12.468968
2150,13.741876,0.860331,12.451379
2160,13.833112,0.945711,12.414547
2170,13.861344,0.942402,12.447741
2180,13.992595,1.046928,12.422202
2190,14.097779,1.089699,12.463231
2200,14.070434,1.084579,12.443566
2210,13.980415,0.997495,12.484172
2220,13.999250,1.067249,12.398377
2230,14.092821,1.086530,12.463025
2240,14.001052,0.995476,12.507838
2250,13.941140,0.929181,12.547369
2260,13.982290,0.977197,12.516494
2270,14.278624,1.177506,12.512365
2280,13.921754,0.993846,12.430985
2290,13.799341,0.946906,12.378981
2300,13.858619,0.993306,12.368659
2310,13.805389,0.988211,12.323072
2320,13.844281,1.019044,12.315715
2330,13.829754,0.995645,12.336287
2340,13.858467,0.955786,12.424787
2350,13.951788,1.098094,12.304647
2360,13.923194,1.052974,12.343733
2370,13.791866,0.931376,12.394802
2380,13.816036,0.983828,12.340294
2390,13.751234,0.951694,12.323693
2400,13.777081,0.974843,12.314816
2410,13.606003,0.856227,12.321664
2420,13.693955,0.934885,12.291628
2430,13.737100,0.973005,12.277592
2440,13.697213,0.962701,12.253161
2450,13.573321,0.813251,12.353446
2460,13.942502,1.015668,12.418999
2470,13.878552,0.969372,12.424494
2480,13.809643,0.840671,12.548636
2490,14.079924,1.072185,12.471646
2500,14.013665,1.070582,12.407792
2510,13.813844,0.977718,12.347266
2520,13.981547,1.068918,12.378169
2530,13.731214,0.919364,12.352168
2540,13.862084,1.039173,12.303325
2550,13.873352,1.013557,12.353016
2560,14.041392,1.182283,12.267967
2570,13.901963,1.093683,12.261438
2580,14.027618,1.136941,12.322206
2590,14.007671,1.138639,12.299712
2600,14.280712,1.373590,12.220326
2610,14.370372,1.305238,12.412515
2620,14.422171,1.444337,12.255665
2630,14.637393,1.482765,12.413246
2640,14.788958,1.531125,12.492270
2650,14.484044,1.334235,12.482693
2660,14.299514,1.228191,12.457227
2670,15.130900,1.755688,12.497368
2680,14.494388,1.310599,12.528490
2690,14.684600,1.411064,12.568004
2700,14.371869,1.211987,12.553888
2710,14.429120,1.271799,12.521421
2720,14.245425,1.109159,12.581687
2730,14.146788,1.018366,12.619238
2740,13.996942,0.898491,12.649205
2750,14.313951,1.122364,12.630405
2760,14.043008,0.971472,12.585800
2770,13.875894,0.833663,12.625400
2780,13.925120,0.898775,12.576957
2790,13.861524,0.828528,12.618732
2800,13.800482,0.823877,12.564667
2810,13.853021,0.849498,12.578774
2820,13.939692,0.923297,12.554746
2830,13.696087,0.787302,12.515135
2840,13.778359,0.844671,12.511353
2850,13.637866,0.779863,12.468071
2860,13.845646,0.909977,12.480680
2870,13.834816,0.884455,12.508133
2880,13.754288,0.802847,12.550018
2890,13.758944,0.817089,12.533311
2900,13.798389,0.787062,12.617796
2910,13.774096,0.779406,12.604987
2920,13.625648,0.665447,12.627477
2930,14.086562,0.940982,12.675090
2940,14.228591,1.019079,12.699972
2950,13.896697,0.805057,12.689111
2960,13.823700,0.696856,12.778415
2970,13.849557,0.758318,12.712080
2980,13.644592,0.661470,12.652387
2990,13.709248,0.736379,12.604679
3000,13.732575,0.755020,12.600046
3010,13.691422,0.693490,12.651186
3020,13.664466,0.712551,12.595640
3030,13.710173,0.753674,12.579662
3040,13.879093,0.826889,12.638759
3050,13.647266,0.651711,12.669699
3060,13.933371,0.805926,12.724481
3070,14.303360,1.083543,12.678045
3080,13.793083,0.676274,12.778672
3090,13.864234,0.775037,12.701678
3100,13.704554,0.627420,12.763425
3110,13.747747,0.659754,12.758117
3120,13.728319,0.640111,12.768153
3130,13.739819,0.728060,12.647729
