iter,overall,attack,distortion
0,26.412152,11.543280,9.097232
10,23.555237,9.372278,9.496821
20,23.659937,9.158920,9.921556
30,21.575498,7.748888,9.952166
40,21.721959,7.822748,9.987837
50,19.587264,6.310609,10.121350
60,18.480546,5.464219,10.284217
70,19.403323,6.127184,10.212548
80,19.167096,5.958369,10.229542
90,19.370677,6.077181,10.254906
100,18.069440,4.985207,10.591630
110,17.937625,4.984534,10.460823
120,18.200949,5.244527,10.334160
130,18.323399,5.279400,10.404300
140,16.825111,4.094148,10.683890
150,18.206519,5.081686,10.583990
160,17.474768,4.604772,10.567609
170,17.645143,4.760626,10.504203
180,16.798446,4.178632,10.530498
190,16.946181,4.246036,10.577127
200,16.761752,4.150876,10.535439
210,16.609581,4.075943,10.495667
220,16.666479,4.116673,10.491469
230,16.160679,3.749591,10.536293
240,16.332604,3.895161,10.489862
250,16.224887,3.791329,10.537894
260,16.200152,3.826516,10.460378
270,16.109132,3.777189,10.443348
280,16.045145,3.717496,10.468901
290,15.844526,3.646705,10.374468
300,15.888525,3.682899,10.364177
310,16.002917,3.789403,10.318813
320,15.863431,3.684276,10.337017
330,15.693141,3.575513,10.329872
340,15.837997,3.705123,10.280313
350,15.696942,3.622496,10.263198
360,15.676580,3.693794,10.135889
370,15.665113,3.712139,10.096903
380,15.427947,3.569447,10.073776
390,15.532866,3.608240,10.120506
400,15.549637,3.623028,10.115095
410,15.324975,3.447092,10.154338
420,15.563098,3.523761,10.277456
430,15.241907,3.378718,10.173831
440,15.249776,3.420461,10.119084
450,15.260390,3.445153,10.092661
460,15.147554,3.410576,10.031690
470,14.999334,3.262766,10.105185
480,15.097742,3.343518,10.082465
490,15.084059,3.375036,10.021506
500,14.907560,3.276011,9.993543
510,15.104429,3.416301,9.979977
520,14.942722,3.287864,10.010926
530,14.891326,3.277202,9.975523
540,14.979198,3.304412,10.022581
550,15.071840,3.343445,10.056672
560,14.784464,3.161818,10.041737
570,14.776906,3.152695,10.047865
580,14.895470,3.296181,9.951198
590,14.830085,3.218129,10.002892
600,14.828453,3.210916,10.012079
610,14.949896,3.186526,10.170107
620,14.754473,3.066941,10.154061
630,14.647834,3.022910,10.113469
640,14.808604,3.157588,10.072222
650,14.792833,3.176137,10.028626
660,14.677132,3.135817,9.973406
670,14.614796,3.104085,9.958669
680,14.472394,3.075709,9.858831
690,14.583099,3.149862,9.858307
700,14.509027,3.098072,9.861919
710,14.519586,3.117740,9.842976
720,14.521416,3.137161,9.815675
730,14.260087,2.960966,9.818638
740,14.657660,3.209094,9.844019
750,14.459764,3.096716,9.814690
760,14.336939,3.015024,9.814403
770,14.278311,3.044172,9.712053
780,14.347313,3.065085,9.749685
790,14.410263,3.091206,9.773454
800,14.282562,3.061664,9.690065
810,14.331368,3.092909,9.692004
820,14.579859,3.237360,9.723819
830,14.304771,2.980898,9.833423
840,14.311588,3.021210,9.779774
850,14.766904,3.297228,9.821062
860,14.396770,3.091204,9.759965
870,14.389013,3.085216,9.761190
880,14.301852,3.008039,9.789792
890,14.262262,2.978904,9.793906
900,14.237010,2.935566,9.833662
910,14.460939,3.103323,9.805955
920,14.255913,2.961047,9.814342
930,14.245877,2.968794,9.792687
940,14.175948,2.956578,9.741081
950,14.116597,2.958492,9.678858
960,14.125911,2.947880,9.704091
970,14.105425,2.971136,9.648722
980,14.169140,3.019953,9.639210
990,14.165453,3.009771,9.650796
1000,14.196689,3.018009,9.669676
1010,14.185428,2.973519,9.725149
1020,14.304462,3.056248,9.720091
1030,14.145548,3.000301,9.645097
1040,14.196866,2.988239,9.714507
1050,14.174175,2.966495,9.724434
1060,14.168553,3.013198,9.648755
1070,14.069788,2.951731,9.642191
1080,13.913597,2.888766,9.580448
1090,13.978638,2.962297,9.535193
1100,13.843794,2.888442,9.511131
1110,13.874590,2.920279,9.494171
1120,13.994874,3.018267,9.467473
1130,14.041645,3.061161,9.449903
1140,14.092954,3.098032,9.445905
1150,14.081935,3.098421,9.434303
1160,13.938401,3.016874,9.413089
1170,14.132514,3.126890,9.442180
1180,13.905563,2.999305,9.406606
1190,14.655751,3.528427,9.363111
1200,14.195842,3.190054,9.410761
1210,14.106783,3.083857,9.480997
1220,14.018542,2.985611,9.540125
1230,13.907864,2.900398,9.557267
1240,13.975568,2.962307,9.532108
1250,13.953569,2.964657,9.506583
1260,13.824242,2.894674,9.482231
1270,13.869016,2.975101,9.406364
1280,13.841075,2.943101,9.426424
1290,13.882556,2.968210,9.430241
1300,13.757673,2.883526,9.432383
1310,14.345637,3.228005,9.503629
1320,14.161386,3.153788,9.430703
1330,13.976524,3.098346,9.329005
1340,13.719697,2.865049,9.422123
1350,13.992127,2.998946,9.493707
1360,13.797269,2.829523,9.552984
1370,13.894838,2.815118,9.672161
1380,13.864463,2.722367,9.780912
1390,14.196108,3.033495,9.645865
1400,13.834605,2.822711,9.600538
1410,13.730950,2.763379,9.585881
1420,13.718707,2.813888,9.497875
1430,13.556158,2.738065,9.449061
1440,13.609221,2.789435,9.425069
1450,13.559424,2.762657,9.415438
1460,13.781546,2.844350,9.515022
1470,13.554931,2.762162,9.411688
1480,13.504675,2.768167,9.352425
1490,13.360955,2.709546,9.296636
1500,13.610549,2.865061,9.312958
1510,13.756008,2.923747,9.370389
1520,13.740507,2.881118,9.418830
1530,13.716327,2.765613,9.567907
1540,13.734411,2.823875,9.498599
1550,13.698427,2.737097,9.592781
1560,13.820348,2.839315,9.561376
1570,13.761714,2.817657,9.535229
1580,13.844942,2.854836,9.562688
1590,13.737963,2.817701,9.511411
1600,13.498425,2.677324,9.482439
1610,13.477209,2.696493,9.432470
1620,13.452316,2.688068,9.420214
1630,13.532345,2.760497,9.391600
1640,13.453074,2.735819,9.349345
1650,13.458280,2.753284,9.328353
1660,13.295677,2.638981,9.337206
1670,13.448545,2.712144,9.380328
1680,13.671769,2.897507,9.325508
1690,13.363694,2.680662,9.342702
1700,13.572321,2.760469,9.431617
1710,13.502840,2.690089,9.467706
1720,13.381336,2.659952,9.391408
1730,13.401534,2.678157,9.384298
1740,13.467869,2.702075,9.414757
1750,13.535304,2.746838,9.415048
1760,13.402612,2.693229,9.362768
1770,13.540721,2.810441,9.325059
1780,13.669350,2.912429,9.300706
1790,13.455375,2.778186,9.288097
1800,13.443393,2.759050,9.304817
1810,13.370467,2.748733,9.247368
1820,13.391393,2.732330,9.292898
1830,13.364519,2.696919,9.319141
1840,13.303398,2.678656,9.285413
1850,13.475253,2.807363,9.264209
1860,13.294052,2.689445,9.259885
1870,13.281803,2.671254,9.274922
1880,13.341086,2.721748,9.258464
1890,13.378867,2.633818,9.428139
1900,13.785859,2.936424,9.381224
1910,13.573880,2.705859,9.515091
1920,13.434489,2.649325,9.460501
1930,13.498563,2.654377,9.516997
1940,13.290523,2.601598,9.388127
1950,13.257916,2.578631,9.389969
1960,13.389105,2.660285,9.398678
1970,13.324490,2.615131,9.401793
1980,13.198694,2.595391,9.305608
1990,13.333915,2.664579,9.337046
2000,13.315000,2.654088,9.333868
2010,13.239070,2.627365,9.298022
2020,13.199221,2.582647,9.325249
2030,13.222415,2.620982,9.290941
2040,13.331371,2.657962,9.344428
2050,13.283481,2.618517,9.355705
2060,13.257413,2.605430,9.349268
2070,13.187678,2.591054,9.301097
2080,13.140468,2.587435,9.259316
2090,13.098227,2.563817,9.252502
2100,13.162417,2.582208,9.289105
2110,13.063221,2.581215,9.191398
2120,13.221606,2.645883,9.252781
2130,13.310182,2.736967,9.204731
2140,13.036629,2.543673,9.221120
2150,13.408813,2.819133,9.180113
2160,13.178411,2.632950,9.228985
2170,13.226720,2.614530,9.304925
2180,13.306427,2.733900,9.205578
2190,13.048920,2.583395,9.173829
2200,13.160851,2.677854,9.144071
2210,13.109578,2.643695,9.144035
2220,12.996535,2.606778,9.086369
2230,13.236191,2.745755,9.117559
2240,13.141373,2.708769,9.078221
2250,13.086791,2.695449,9.043617
2260,13.028836,2.660624,9.037900
2270,13.130679,2.711474,9.063467
2280,13.129292,2.660812,9.138073
2290,13.218570,2.728368,9.126018
2300,13.100885,2.637400,9.144785
2310,13.000124,2.598917,9.101749
2320,13.038786,2.653324,9.058801
2330,12.991363,2.639878,9.031546
2340,12.900160,2.598271,9.002753
2350,12.928295,2.623668,8.992793
2360,12.939349,2.614634,9.017398
2370,13.162943,2.686955,9.132511
2380,13.599654,3.002049,9.096580
2390,13.609957,2.960300,9.169508
2400,13.212630,2.703691,9.157094
2410,13.605563,3.002043,9.102498
2420,13.150288,2.703025,9.095751
2430,13.138174,2.716969,9.062720
2440,13.255021,2.823081,9.020399
2450,13.071261,2.660559,9.080422
2460,13.102607,2.718351,9.025080
2470,13.016247,2.666992,9.015758
2480,12.988675,2.670712,8.982607
2490,12.966313,2.668853,8.963034
2500,12.958870,2.657682,8.972347
2510,12.996689,2.695733,8.953090
2520,12.983352,2.627210,9.042537
2530,13.026931,2.604660,9.119941
2540,12.978184,2.615628,9.054741
2550,12.914442,2.605163,9.006698
2560,12.900960,2.610939,8.984551
2570,12.831428,2.562100,8.988278
2580,12.859148,2.617959,8.932209
2590,12.866186,2.629527,8.921896
2600,12.958002,2.628802,9.014799
2610,13.361882,2.893116,9.022207
