iter,overall,attack,distortion
0,12.660102,1.962937,9.715697
10,12.441900,1.814443,9.720236
20,12.634913,1.881747,9.812292
30,12.693695,1.984923,9.716311
40,12.790337,1.983190,9.815553
50,12.568890,1.834791,9.816703
60,12.883102,1.999774,9.883441
70,12.717738,1.889639,9.883280
80,12.272855,1.597436,9.876700
90,12.294132,1.631618,9.846706
100,12.373345,1.717044,9.797778
110,12.237122,1.605064,9.829526
120,12.264858,1.634274,9.813447
130,12.301047,1.627789,9.859363
140,12.241078,1.614544,9.819262
150,12.834910,1.975918,9.871033
160,12.343721,1.651145,9.867003
170,12.516259,1.807234,9.805409
180,12.402986,1.646990,9.932501
190,12.301848,1.569889,9.947015
200,12.505232,1.707325,9.944245
210,12.462546,1.724927,9.875156
220,12.317618,1.678366,9.800068
230,12.303217,1.665816,9.804492
240,12.380758,1.675559,9.867420
250,12.326087,1.705881,9.767267
260,12.403069,1.759779,9.763401
270,12.383169,1.671131,9.876472
280,12.355472,1.663497,9.860226
290,12.557194,1.807704,9.845638
300,12.512475,1.735544,9.909159
310,12.688957,1.892807,9.849747
320,12.616430,1.830242,9.871067
330,12.756608,1.920991,9.875121
340,12.685470,1.917584,9.809094
350,12.626868,1.883548,9.801545
360,12.599391,1.846386,9.829812
370,13.051704,2.166000,9.802704
380,12.894361,2.073841,9.783600
390,12.997747,2.132388,9.799164
400,12.663789,1.900065,9.813691
410,12.927723,2.094601,9.785821
420,12.786422,1.982220,9.813091
430,12.834111,2.008173,9.821853
440,13.018467,2.174789,9.756283
450,13.029152,2.209508,9.714890
460,13.044621,2.237140,9.688911
470,12.979733,2.189979,9.694764
480,12.853765,2.142908,9.639403
490,12.805349,2.060150,9.715123
500,12.935155,2.143431,9.720009
510,12.914328,2.116353,9.739799
520,12.862190,2.008963,9.848745
530,12.727608,1.921454,9.845428
540,12.814477,1.937391,9.908390
550,12.976369,2.034372,9.924810
560,12.826514,1.977498,9.860266
570,12.772499,1.937526,9.866210
580,12.412850,1.648585,9.939972
590,12.898977,2.018967,9.870526
600,12.784034,1.958316,9.846561
610,12.633012,1.887763,9.801368
620,12.838036,2.062499,9.744288
630,12.561423,1.856646,9.776454
640,12.700941,1.915526,9.827652
650,12.754045,1.934355,9.852513
660,12.476972,1.721845,9.894205
670,12.545864,1.760546,9.905045
680,12.805087,1.884077,9.978972
690,12.979260,1.991181,9.992489
700,12.925328,1.904682,10.068306
710,12.896415,1.934526,9.994627
720,12.488159,1.647082,10.017537
730,12.609904,1.766769,9.959750
740,12.613251,1.807500,9.902001
750,12.500110,1.726035,9.911057
760,12.665776,1.846345,9.896259
770,12.526255,1.730757,9.930120
780,12.458625,1.686024,9.929589
790,12.546609,1.757982,9.909635
800,12.536514,1.766102,9.887361
810,12.529565,1.790564,9.843720
820,12.485152,1.771458,9.827965
830,12.441848,1.740767,9.830697
840,12.394806,1.725795,9.806115
850,12.419701,1.703290,9.864766
860,12.358655,1.724476,9.771940
870,12.437265,1.775275,9.774353
880,12.343110,1.734916,9.740735
890,12.610941,1.936735,9.705838
900,12.340003,1.782268,9.666602
910,12.499616,1.896297,9.655171
920,12.386965,1.862606,9.593055
930,12.468423,1.854609,9.686508
940,12.671244,2.058383,9.583669
950,12.482812,1.909727,9.618222
